subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.500000,False
1,D2,arguments,2,,3,1.000000,True
1,D2,arguments,3,,2,0.026993,False
1,D2,arguments,4,,2,0.500000,False
1,D2,arguments,5,,3,0.217677,False
1,D2,arguments,6,,2,1.000000,True
1,D3,outcomes,1,,2,0.658239,True
1,D3,outcomes,2,,2,0.696832,True
1,D3,outcomes,3,,3,0.246687,False
1,D3,outcomes,4,,3,0.257940,False
1,D3,outcomes,5,,3,0.730199,True
1,D3,outcomes,6,,3,0.730199,True
1,D1,required_precondition_coverage,1,gt_precondition,3,0.594975,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,3,gt_precondition,2,1.000000,True
1,D1,required_precondition_coverage,4,gt_precondition,3,0.559861,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,6,gt_precondition,2,0.118298,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.098311,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.503513,True
2,D2,arguments,2,,1,0.257828,False
2,D2,arguments,3,,1,0.029562,False
2,D2,arguments,4,,1,0.596595,True
2,D3,outcomes,1,,1,0.585716,True
2,D3,outcomes,2,,1,0.206823,False
2,D3,outcomes,3,,1,0.548611,True
2,D3,outcomes,4,,1,0.647573,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.117828,False
