subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.449831,False
1,D3,outcomes,1,,1,0.865240,True
1,D1,required_precondition_coverage,1,global_assumption,1,0.411928,False
1,D1,required_precondition_coverage,2,local_assumption,1,0.726859,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.192755,False
1,D1,required_precondition_coverage,4,gt_precondition,1,0.732968,True
2,D2,arguments,1,,1,0.448062,False
2,D3,outcomes,1,,1,0.880851,True
2,D1,required_precondition_coverage,1,global_assumption,1,0.343337,False
2,D1,required_precondition_coverage,2,local_assumption,1,0.949988,True
2,D1,required_precondition_coverage,3,previous_outcome,1,0.235372,False
2,D1,required_precondition_coverage,4,gt_precondition,1,0.121661,False
2,D1,required_precondition_coverage,5,gt_precondition,1,0.945815,True
