subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,3,0.454317,False
1,D3,outcomes,1,,4,0.722621,True
1,D1,required_precondition_coverage,1,global_assumption,3,0.534421,False
1,D1,required_precondition_coverage,2,local_assumption,1,0.856788,True
1,D1,required_precondition_coverage,3,gt_precondition,3,0.492055,False
1,D1,required_precondition_coverage,4,gt_precondition,1,0.862828,True
2,D2,arguments,1,,4,0.436526,False
2,D3,outcomes,1,,1,0.871975,True
2,D1,required_precondition_coverage,1,global_assumption,1,0.489849,False
2,D1,required_precondition_coverage,2,local_assumption,1,0.972505,True
2,D1,required_precondition_coverage,3,previous_outcome,1,0.301937,False
2,D1,required_precondition_coverage,4,gt_precondition,4,0.283252,False
2,D1,required_precondition_coverage,5,gt_precondition,1,0.967323,True
