subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.524043,0.524043,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.524043,0.524043,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.080251,0.080251,False,False,,,,,,,因此该过程为零均值高斯过程。,$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.080251,0.080251,False,False,,,,,,,因此该过程为零均值高斯过程。,$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.252407,0.252407,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.252407,0.252407,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.309500,0.309500,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。",$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.309500,0.309500,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。",$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.225557,0.225557,False,False,,,,,,,布朗运动的经典定义。,$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.225557,0.225557,False,False,,,,,,,布朗运动的经典定义。,$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.225557,0.225557,False,False,,,,,,,布朗运动的经典定义。,$(X_t)_{t\in \R^+}$ 为布朗运动
1,D1,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.225557,0.225557,False,False,,,,,,,布朗运动的经典定义。,$(X_t)_{t\in \R^+}$ 为布朗运动
1,D3,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.542847,0.542847,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"布朗运动的定义要求 $X_0 = 0$，且其独立增量性质导致协方差函数为 $\min(s, t)$"
1,D3,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.573893,0.573893,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,高斯过程的独立增量性质与协方差结构等价于布朗运动的定义
1,D3,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.257517,0.257517,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"布朗运动的定义要求 $X_0 = 0$，且其独立增量性质导致协方差函数为 $\min(s, t)$"
1,D3,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.893790,0.893790,True,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,高斯过程的独立增量性质与协方差结构等价于布朗运动的定义
1,D3,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.096067,0.096067,False,False,,,,,,,Calculation,"布朗运动的定义要求 $X_0 = 0$，且其独立增量性质导致协方差函数为 $\min(s, t)$"
1,D3,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.152286,0.152286,False,False,,,,,,,Calculation,高斯过程的独立增量性质与协方差结构等价于布朗运动的定义
1,D3,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.405961,0.405961,False,False,,,,,,,因此增量的分布仅依赖于时间差 \(t-s\)。,"布朗运动的定义要求 $X_0 = 0$，且其独立增量性质导致协方差函数为 $\min(s, t)$"
1,D3,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.456002,0.456002,False,False,,,,,,,因此增量的分布仅依赖于时间差 \(t-s\)。,高斯过程的独立增量性质与协方差结构等价于布朗运动的定义
1,D3,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.272327,0.272327,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,"布朗运动的定义要求 $X_0 = 0$，且其独立增量性质导致协方差函数为 $\min(s, t)$"
1,D3,arguments,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.294242,0.294242,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,高斯过程的独立增量性质与协方差结构等价于布朗运动的定义
1,D3,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.329872,0.329872,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,"布朗运动的定义要求 $X_0 = 0$，且其独立增量性质导致协方差函数为 $\min(s, t)$"
1,D3,arguments,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.277497,0.277497,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,高斯过程的独立增量性质与协方差结构等价于布朗运动的定义
1,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.641098,0.641098,True,False,,,,,,,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,"$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,1,2,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.641098,0.641098,True,False,,,,,,,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,"$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.385736,0.385736,False,False,,,,,,,标准布朗运动具有高斯增量（Gaussian increments）且,"$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,2,2,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.385736,0.385736,False,False,,,,,,,标准布朗运动具有高斯增量（Gaussian increments）且,"$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.878559,0.878559,True,False,,,,,,,\(X_0 = 0\)，,"$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,3,2,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.878559,0.878559,True,False,,,,,,,\(X_0 = 0\)，,"$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.758009,0.758009,True,False,,,,,,,"利用性质 ${\rm Cov}(X_s,X_t)=\inf(s,t)$，","$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,4,2,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.758009,0.758009,True,False,,,,,,,"利用性质 ${\rm Cov}(X_s,X_t)=\inf(s,t)$，","$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.698812,0.698812,True,False,,,,,,,"对于 \(s < t \leq u < v\)，计算协方差 $\text{Cov}(X_t - X_s, X_v - X_u)$：","$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,5,2,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.698812,0.698812,True,False,,,,,,,"对于 \(s < t \leq u < v\)，计算协方差 $\text{Cov}(X_t - X_s, X_v - X_u)$：","$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,6,1,subquestions[1].atoms/set[2]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.685104,0.685104,True,False,,,,,,,计算增量 $X_t - X_s$ 的方差：,"$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,6,2,subquestions[1].atoms/set[2]/list[2].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.685104,0.685104,True,False,,,,,,,计算增量 $X_t - X_s$ 的方差：,"$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,7,1,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.201461,0.201461,False,False,,,,,,,不相交增量相互独立，且,"$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,7,2,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.201461,0.201461,False,False,,,,,,,不相交增量相互独立，且,"$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,8,1,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.514310,0.514310,False,False,,,,,,,"增量服从方差为 $t-s$ 的零均值高斯分布，即 \(\mathcal{N}(0, t-s)\)，","$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
1,D4,required_precondition_coverage,8,2,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.514310,0.514310,False,False,,,,,,,"增量服从方差为 $t-s$ 的零均值高斯分布，即 \(\mathcal{N}(0, t-s)\)，","$X_0 = 0$ | $(X_t)_{t\in \R^+}$ 为零均值高斯过程 | $\Cov(X_s, X_t) = \min(s, t)$"
2,D1,outcomes,1,1,subquestions[2].atoms/set[1],subquestions[2].atoms/list[1],gt_atom,0.263782,0.263782,False,False,,,,,,,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.,$ X_t $ 为布朗运动
2,D1,outcomes,2,1,subquestions[2].atoms/set[2],subquestions[2].atoms/list[1],gt_atom,0.253487,0.253487,False,False,,,,,,,故服从零均值高斯分布。 \\,$ X_t $ 为布朗运动
2,D1,outcomes,3,1,subquestions[2].atoms/set[3],subquestions[2].atoms/list[1],gt_atom,0.619523,0.619523,True,False,,,,,,,"即 $\mathbb{E}[X_t X_s] = \min(t,s)$。 \\",$ X_t $ 为布朗运动
2,D1,outcomes,4,1,subquestions[2].atoms/set[4],subquestions[2].atoms/list[1],gt_atom,0.463988,0.463988,False,False,,,,,,,可知 \(X\) 亦为布朗运动。,$ X_t $ 为布朗运动
2,D3,arguments,1,1,subquestions[2].atoms/set[1],subquestions[2].atoms/list[1],gt_atom,0.155059,0.155059,False,False,,,,,,,根据布朗运动的强大数定律（Law of large numbers）：,"$ X_t = t\, W_{1/t} $ | $ \mathbb{E}[X_t] = 0 $ | $ \text{Cov}(X_s, X_t) = \min(s, t) $"
2,D3,arguments,2,1,subquestions[2].atoms/set[2],subquestions[2].atoms/list[1],gt_atom,0.477895,0.477895,False,False,,,,,,,均为 \(W_{1/t_i}\) 的线性组合，,"$ X_t = t\, W_{1/t} $ | $ \mathbb{E}[X_t] = 0 $ | $ \text{Cov}(X_s, X_t) = \min(s, t) $"
2,D3,arguments,3,1,subquestions[2].atoms/set[3],subquestions[2].atoms/list[1],gt_atom,0.008475,0.008475,False,False,,,,,,,Calculation,"$ X_t = t\, W_{1/t} $ | $ \mathbb{E}[X_t] = 0 $ | $ \text{Cov}(X_s, X_t) = \min(s, t) $"
2,D3,arguments,4,1,subquestions[2].atoms/set[4],subquestions[2].atoms/list[1],gt_atom,0.073683,0.073683,False,False,,,,,,,由布朗运动的等价判定性质（part a 结论）,"$ X_t = t\, W_{1/t} $ | $ \mathbb{E}[X_t] = 0 $ | $ \text{Cov}(X_s, X_t) = \min(s, t) $"
2,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.341437,0.341437,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.229873,0.229873,False,False,,,,,,,因此该过程为零均值高斯过程。,$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/set[2]/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.300463,0.300463,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[2].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.307968,0.307968,False,False,,,,,,,这表明增量具有平稳性（stationary），,$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[2].outcomes[2],subquestions[2].atoms/list[1],previous_outcome,0.449604,0.449604,False,False,,,,,,,"且服从分布 \(\mathcal{N}(0, t-s)\)。",$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,6,1,subquestions[1].atoms/set[2]/list[3]/set[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.210998,0.210998,False,False,,,,,,,布朗运动的经典定义。,$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,7,1,subquestions[2].atoms/set[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.663509,0.663509,True,False,,,,,,,计算 $\lim_{t \to 0^+} t W_{1/t}$：,$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,8,1,subquestions[2].atoms/set[2].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.523858,0.523858,False,False,,,,,,,"对任意给定时刻 \(t_1, \dots, t_n\)，随机向量 \((X_{t_1}, \dots, X_{t_n})\)",$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,9,1,subquestions[2].atoms/set[4].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.491538,0.491538,False,False,,,,,,,轨道连续性：$\lim_{t \to 0^+} X_t = 0$ a.s.，,$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,10,1,subquestions[2].atoms/set[4].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.363035,0.363035,False,False,,,,,,,"高斯性：对任意时刻集合，向量 \((X_{t_1}, \dots, X_{t_n})\) 均服从零均值高斯分布，",$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,11,1,subquestions[2].atoms/set[4].preconditions[3],subquestions[2].atoms/list[1],gt_precondition,0.450235,0.450235,False,False,,,,,,,"协方差结构：$\mathbb{E}[X_t X_s] = \min(t,s)$，",$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
2,D4,required_precondition_coverage,12,1,subquestions[2].atoms/set[4].preconditions[4],subquestions[2].atoms/list[1],gt_precondition,0.587268,0.587268,True,False,,,,,,,结合初始条件 \(X_0 = 0\)，,$ W_t $ 为布朗运动 | $ t > 0 $ | $ X_0 = 0 $
