subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,4,0.473770,True
1,D1,outcomes,2,,5,0.376917,False
1,D1,outcomes,3,,2,0.530334,True
1,D1,outcomes,4,,2,0.413084,False
1,D1,outcomes,5,,5,0.302521,False
1,D1,outcomes,6,,5,0.302521,False
1,D3,arguments,1,,2,0.398256,False
1,D3,arguments,2,,2,0.235495,False
1,D3,arguments,3,,2,0.026993,False
1,D3,arguments,4,,2,0.283658,False
1,D3,arguments,5,,2,0.208923,False
1,D3,arguments,6,,2,0.307091,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.603494,True
1,D4,required_precondition_coverage,2,gt_precondition,2,0.524831,True
1,D4,required_precondition_coverage,3,gt_precondition,2,0.917187,True
1,D4,required_precondition_coverage,4,gt_precondition,2,0.896349,True
1,D4,required_precondition_coverage,5,gt_precondition,2,0.744860,True
1,D4,required_precondition_coverage,6,gt_precondition,2,0.200690,False
1,D4,required_precondition_coverage,7,gt_precondition,2,0.148157,False
1,D4,required_precondition_coverage,8,gt_precondition,2,0.418482,True
2,D1,outcomes,1,,1,0.622930,True
2,D1,outcomes,2,,1,0.196215,False
2,D1,outcomes,3,,1,0.524349,True
2,D1,outcomes,4,,1,0.613695,True
2,D3,arguments,1,,1,0.110816,False
2,D3,arguments,2,,1,0.255878,False
2,D3,arguments,3,,1,0.227017,False
2,D3,arguments,4,,1,0.143417,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.480477,True
2,D4,required_precondition_coverage,2,previous_outcome,1,0.406784,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.210635,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.171700,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.369144,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.668898,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.557128,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.341864,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.432909,True
2,D4,required_precondition_coverage,10,gt_precondition,1,0.387814,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.475170,True
2,D4,required_precondition_coverage,12,gt_precondition,1,0.188460,False
