subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.500000,False
1,D2,arguments,2,,1,0.209729,False
1,D2,arguments,3,,1,-0.041217,False
1,D2,arguments,4,,1,0.230355,False
1,D2,arguments,5,,1,0.184846,False
1,D2,arguments,6,,1,0.221734,False
1,D3,outcomes,1,,3,0.951951,True
1,D3,outcomes,2,,2,0.759172,True
1,D3,outcomes,3,,1,0.162084,False
1,D3,outcomes,4,,3,0.500000,False
1,D3,outcomes,5,,2,0.500000,False
1,D3,outcomes,6,,2,0.500000,False
1,D1,required_precondition_coverage,1,gt_precondition,1,0.621685,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.506367,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,4,gt_precondition,1,0.545028,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,6,gt_precondition,1,0.144076,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.096760,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.663157,True
2,D2,arguments,2,,1,0.223174,False
2,D2,arguments,3,,1,0.026993,False
2,D2,arguments,4,,1,0.748145,True
2,D3,outcomes,1,,1,0.638100,True
2,D3,outcomes,2,,1,0.191672,False
2,D3,outcomes,3,,1,0.544223,True
2,D3,outcomes,4,,1,0.617852,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.117828,False
