subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.300447,False
1,D1,outcomes,2,,2,1.000000,True
1,D1,outcomes,3,,2,0.279097,False
1,D1,outcomes,4,,2,0.338401,False
1,D1,outcomes,5,,2,0.308294,False
1,D1,outcomes,6,,2,0.308294,False
1,D3,arguments,1,,1,0.500000,False
1,D3,arguments,2,,2,1.000000,True
1,D3,arguments,3,,3,0.115377,False
1,D3,arguments,4,,2,0.262504,False
1,D3,arguments,5,,2,0.298137,False
1,D3,arguments,6,,1,0.500000,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,2,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,3,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,4,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,5,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,6,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D1,outcomes,1,,1,0.500000,False
2,D1,outcomes,2,,3,0.337393,False
2,D1,outcomes,3,,4,1.000000,True
2,D1,outcomes,4,,1,1.000000,True
2,D3,arguments,1,,3,0.314463,False
2,D3,arguments,2,,6,0.340055,False
2,D3,arguments,3,,2,0.250359,False
2,D3,arguments,4,,6,0.317539,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,7,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,12,gt_precondition,1,0.000000,False
