subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.527378,True
1,D1,outcomes,2,,3,0.787809,True
1,D1,outcomes,3,,1,0.202333,False
1,D1,outcomes,4,,1,0.206598,False
1,D1,outcomes,5,,2,0.547883,True
1,D1,outcomes,6,,2,0.547883,True
1,D3,arguments,1,,3,0.534130,True
1,D3,arguments,2,,1,0.404930,True
1,D3,arguments,3,,3,0.102042,False
1,D3,arguments,4,,3,0.341781,False
1,D3,arguments,5,,1,0.212779,False
1,D3,arguments,6,,1,0.355692,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.604890,True
1,D4,required_precondition_coverage,2,gt_precondition,3,0.524831,True
1,D4,required_precondition_coverage,3,gt_precondition,2,0.333324,False
1,D4,required_precondition_coverage,4,gt_precondition,2,0.573645,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.475445,True
1,D4,required_precondition_coverage,6,gt_precondition,3,0.134719,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.110106,False
1,D4,required_precondition_coverage,8,gt_precondition,3,0.418482,True
2,D1,outcomes,1,,1,0.311652,False
2,D1,outcomes,2,,1,0.265487,False
2,D1,outcomes,3,,1,0.587339,True
2,D1,outcomes,4,,1,0.610093,True
2,D3,arguments,1,,1,0.569148,True
2,D3,arguments,2,,1,0.221092,False
2,D3,arguments,3,,1,-0.079367,False
2,D3,arguments,4,,1,0.919967,True
2,D4,required_precondition_coverage,1,previous_outcome,1,0.496311,True
2,D4,required_precondition_coverage,2,previous_outcome,1,0.406725,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.235219,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.400716,True
2,D4,required_precondition_coverage,5,previous_outcome,1,0.443220,True
2,D4,required_precondition_coverage,6,previous_outcome,1,0.732155,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.234147,False
2,D4,required_precondition_coverage,8,gt_precondition,1,0.378761,True
2,D4,required_precondition_coverage,9,gt_precondition,1,0.431216,True
2,D4,required_precondition_coverage,10,gt_precondition,1,0.447248,True
2,D4,required_precondition_coverage,11,gt_precondition,1,0.487070,True
2,D4,required_precondition_coverage,12,gt_precondition,1,0.768966,True
