subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.000000,False
1,D1,outcomes,2,,1,1.000000,True
1,D1,outcomes,3,,1,0.186366,False
1,D1,outcomes,4,,1,0.204057,False
1,D1,outcomes,5,,1,1.000000,True
1,D1,outcomes,6,,1,1.000000,True
1,D3,arguments,1,,1,0.000000,False
1,D3,arguments,2,,1,0.195789,False
1,D3,arguments,3,,1,-0.009516,False
1,D3,arguments,4,,1,0.000000,False
1,D3,arguments,5,,1,0.156287,False
1,D3,arguments,6,,1,0.239175,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,2,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,3,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,4,gt_precondition,1,0.000000,False
1,D4,required_precondition_coverage,5,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,6,gt_precondition,1,0.200690,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.148157,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,outcomes,1,,1,0.000000,False
2,D1,outcomes,2,,1,0.200121,False
2,D1,outcomes,3,,1,0.000000,False
2,D1,outcomes,4,,1,1.000000,True
2,D3,arguments,1,,1,0.066607,False
2,D3,arguments,2,,1,0.117893,False
2,D3,arguments,3,,1,1.000000,True
2,D3,arguments,4,,1,-0.054745,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D4,required_precondition_coverage,2,previous_outcome,1,0.500000,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.195700,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.151679,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.284686,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.500000,False
2,D4,required_precondition_coverage,7,gt_precondition,1,1.000000,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.259338,False
2,D4,required_precondition_coverage,9,gt_precondition,1,1.000000,True
2,D4,required_precondition_coverage,10,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D4,required_precondition_coverage,12,gt_precondition,1,0.125759,False
