subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.660618,1.000000,True,True,equivalent,1.000000,Same formula for covariance.,e66cd3ae194201ca1db7873b11cd05e1661a579676b575972e29a20af03eac24,False,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","Le processus $(X_t)_{t\in \R^+}$ est un mouvement brownien si et seulement si $X_0=0$, $(X_t)_{t\in \R^+}$ est un processus gaussien centré et ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.660618,1.000000,True,True,equivalent,1.000000,Same formula for covariance.,e66cd3ae194201ca1db7873b11cd05e1661a579676b575972e29a20af03eac24,True,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","Le processus $(X_t)_{t\in \R^+}$ est un mouvement brownien si et seulement si $X_0=0$, $(X_t)_{t\in \R^+}$ est un processus gaussien centré et ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.487997,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement adds unnecessary condition on covariance, which is not present in ground-truth statement.",bfd383d441d4f5c734fbb47d31011f033c564aca3f1264d9f694de56391b3548,False,,Le processus est donc gaussien centré.,"Le processus $(X_t)_{t\in \R^+}$ est un mouvement brownien si et seulement si $X_0=0$, $(X_t)_{t\in \R^+}$ est un processus gaussien centré et ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.487997,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement adds unnecessary condition on covariance, which is not present in ground-truth statement.",bfd383d441d4f5c734fbb47d31011f033c564aca3f1264d9f694de56391b3548,True,,Le processus est donc gaussien centré.,"Le processus $(X_t)_{t\in \R^+}$ est un mouvement brownien si et seulement si $X_0=0$, $(X_t)_{t\in \R^+}$ est un processus gaussien centré et ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.244345,0.244345,False,False,,,,,,,"les accroissements disjoints sont non corrélés, donc indépendants","Le processus $(X_t)_{t\in \R^+}$ est un mouvement brownien si et seulement si $X_0=0$, $(X_t)_{t\in \R^+}$ est un processus gaussien centré et ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.244345,0.244345,False,False,,,,,,,"les accroissements disjoints sont non corrélés, donc indépendants","Le processus $(X_t)_{t\in \R^+}$ est un mouvement brownien si et seulement si $X_0=0$, $(X_t)_{t\in \R^+}$ est un processus gaussien centré et ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.319166,0.319166,False,False,,,,,,,"Ceci montre que les accroissements sont stationnaires et | de loi \(\mathcal{N}(0, t-s)\).","Le processus $(X_t)_{t\in \R^+}$ est un mouvement brownien si et seulement si $X_0=0$, $(X_t)_{t\in \R^+}$ est un processus gaussien centré et ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D1,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.319166,0.319166,False,False,,,,,,,"Ceci montre que les accroissements sont stationnaires et | de loi \(\mathcal{N}(0, t-s)\).","Le processus $(X_t)_{t\in \R^+}$ est un mouvement brownien si et seulement si $X_0=0$, $(X_t)_{t\in \R^+}$ est un processus gaussien centré et ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.378047,0.500000,False,True,related_but_not_equivalent,0.800000,The model statement is missing the stationarity and independence of increments properties.,1ef70ee8492d39bed8ac22b1ba6b9fbaad0c57a2aaed981ca54c382a46075731,False,,la définition classique du mouvement brownien.,"Le processus $(X_t)_{t\in \R^+}$ est un mouvement brownien si et seulement si $X_0=0$, $(X_t)_{t\in \R^+}$ est un processus gaussien centré et ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D1,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.378047,0.500000,False,True,related_but_not_equivalent,0.800000,The model statement is missing the stationarity and independence of increments properties.,1ef70ee8492d39bed8ac22b1ba6b9fbaad0c57a2aaed981ca54c382a46075731,True,,la définition classique du mouvement brownien.,"Le processus $(X_t)_{t\in \R^+}$ est un mouvement brownien si et seulement si $X_0=0$, $(X_t)_{t\in \R^+}$ est un processus gaussien centré et ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
