subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.025708,False
1,D2,arguments,2,,1,0.078710,False
1,D2,arguments,3,,1,1.000000,True
1,D2,arguments,4,,1,0.157305,False
1,D2,arguments,5,,1,-0.112936,False
1,D2,arguments,6,,1,0.009087,False
1,D3,outcomes,1,,1,0.542225,True
1,D3,outcomes,2,,1,0.561323,True
1,D3,outcomes,3,,1,0.163786,False
1,D3,outcomes,4,,1,0.200315,False
1,D3,outcomes,5,,1,0.543724,True
1,D3,outcomes,6,,1,0.543724,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.604508,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.277645,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.378463,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.547057,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.476492,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.136185,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.068761,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.277612,False
2,D2,arguments,1,,1,0.583627,True
2,D2,arguments,2,,1,0.255101,False
2,D2,arguments,3,,1,0.125396,False
2,D2,arguments,4,,1,0.752571,True
2,D3,outcomes,1,,1,0.678868,True
2,D3,outcomes,2,,1,0.165149,False
2,D3,outcomes,3,,1,0.525264,True
2,D3,outcomes,4,,1,0.571802,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.400795,True
2,D1,required_precondition_coverage,2,previous_outcome,1,0.393774,True
2,D1,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.293874,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.298405,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.371362,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.411884,True
2,D1,required_precondition_coverage,12,gt_precondition,1,0.117828,False
