subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.025708,0.025708,False,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),Calculation
1,D2,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.025708,0.025708,False,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),Calculation
1,D2,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.078710,0.078710,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Calculation
1,D2,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.078710,0.078710,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Calculation
1,D2,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,1.000000,1.000000,True,False,,,,,,,Calculation,Calculation
1,D2,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,1.000000,1.000000,True,False,,,,,,,Calculation,Calculation
1,D2,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.157305,0.157305,False,False,,,,,,,thus the law depends only on \(t-s\),Calculation
1,D2,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.157305,0.157305,False,False,,,,,,,thus the law depends only on \(t-s\),Calculation
1,D2,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,-0.112936,-0.112936,False,False,,,,,,,plus the assumption of continuity of paths,Calculation
1,D2,arguments,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,-0.112936,-0.112936,False,False,,,,,,,plus the assumption of continuity of paths,Calculation
1,D2,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.009087,0.009087,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,Calculation
1,D2,arguments,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.009087,0.009087,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,Calculation
1,D3,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.804829,0.804829,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.746823,0.746823,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D3,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.787809,0.787809,True,False,,,,,,,The process is therefore centered Gaussian,"X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.767514,0.767514,True,False,,,,,,,The process is therefore centered Gaussian,"X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D3,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.223376,0.223376,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.208622,0.208622,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D3,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.395378,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement lacks specification of the law of the increments.,401c8a1a084465e6847b2e75b73ea515d362936e8219c2f7a028a3e49bb593df,False,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.357259,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement describes a centered Gaussian process, but ground-truth statement specifies increments with law \(\mathcal{N}(0, t-s)\).",e5f043ade93a6280052ca44a09f1508234f18de411890358f43c83f001a2e592,False,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D3,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.406688,0.500000,False,True,related_but_not_equivalent,0.800000,The model statement lacks the definition of the filtration and the initial distribution.,b40a50f966a5901404adad9e6a707e70a0d4e6372bb615b8655a75f048f9553b,False,,the classical definition of Brownian motion.,"X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.370121,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement lacks the definition of Brownian motion, but correctly states some of its properties.",8c4b5ea134f961af52ade24b63dd7bd1bb00e46aae430deaeff1b5a32a3fb5c7,False,,the classical definition of Brownian motion.,"X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D3,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.406688,0.500000,False,True,related_but_not_equivalent,0.800000,The model statement lacks the definition of the filtration and the initial distribution.,b40a50f966a5901404adad9e6a707e70a0d4e6372bb615b8655a75f048f9553b,True,,the classical definition of Brownian motion.,"X_0=0 | (X_t)_{t\in \R^+} is a centered Gaussian process | Cov(X_s,X_t)=inf(s,t)"
1,D3,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.370121,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement lacks the definition of Brownian motion, but correctly states some of its properties.",8c4b5ea134f961af52ade24b63dd7bd1bb00e46aae430deaeff1b5a32a3fb5c7,True,,the classical definition of Brownian motion.,"X_0!=0 | (X_t)_{t\in \R^+} is not a centered Gaussian process | Cov(X_s,X_t)!=inf(s,t)"
1,D1,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.587489,0.587489,True,False,,,,,,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).",A process $(X_t)_{t\in \R^+}$ is a Brownian motion.
1,D1,required_precondition_coverage,1,2,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.467762,0.000000,False,True,unrelated,0.000000,"The model statement is about a property of a process, while the ground-truth statement is about a specific decomposition.",ffab66089408700ce1df4838884462fae0e110de046aae5ff987088e14de59c1,False,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).",A process $(X_t)_{t\in \R^+}$ is not a Brownian motion.
1,D1,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.461482,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement defines a process, but does not explicitly state that it has Gaussian increments.",69c58e1750f79e822a4b300fb73780cbfd19024496127125ac4f498e49d29905,False,,Standard Brownian motion has Gaussian increments,A process $(X_t)_{t\in \R^+}$ is a Brownian motion.
1,D1,required_precondition_coverage,2,2,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.446721,0.000000,False,True,unrelated,0.000000,"The model statement denies the existence of a Brownian motion, whereas the ground-truth statement describes a property of Brownian motion.",dcd48f8102ec1c9ed2394fc5c06ab45f3b2903c2ff82b5de56a62220c2c92bc0,False,,Standard Brownian motion has Gaussian increments,A process $(X_t)_{t\in \R^+}$ is not a Brownian motion.
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.288285,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement defines a process, but the ground-truth statement is a specific initial condition.",3180e540d13f79376e44743ccf903129ce68d6f8c4466b36f193594501575b19,False,,"\(X_0 = 0\),",A process $(X_t)_{t\in \R^+}$ is a Brownian motion.
1,D1,required_precondition_coverage,3,2,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.247397,0.247397,False,False,,,,,,,"\(X_0 = 0\),",A process $(X_t)_{t\in \R^+}$ is not a Brownian motion.
