subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,-0.062874,-0.062874,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Calculation
1,D3,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.765193,0.765193,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",E(W_τ) = E[|W_τ|^2] / √(4π^2) * E[τ]
1,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.345944,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement is about a Brownian Motion.",d99c730197fc532a026d22d02b4e8b58188dbda26018a136ba47495f594314fe,True,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time
1,D1,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.933150,0.933150,True,False,,,,,,,$\tau$ is a bounded stopping time,τ is a bounded stopping time
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.363890,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement is about a martingale.",0c3371a54d5934bd1c283698dc9941b164d44ae8ffee448eab73b203eef5a674,True,,$(W_t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.927608,0.927608,True,False,,,,,,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time
2,D2,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.388591,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement is broader and does not specify the application of Doob's theorem.,2c787a527f70d4dfa5c2c9ea2f4400a82aa0fff17df5dfb46262396c11d10385,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Calculation of expectation and variance of W at time τ
2,D3,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.790603,0.790603,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],E(W_τ^2) = P(τ > t^2)[I_(τ+t)^2 + I_(τ-t)^2]
2,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.798903,0.798903,True,False,,,,,,,$W_t$ is a Brownian Motion.,W is a continuous time Brownian motion
2,D1,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.432899,0.000000,False,True,unrelated,0.000000,The model statement is about a different mathematical fact.,d289480296a38901d5728b3d68dfbc1b486673fdd4c6ae0fc94c1fb98481eac7,False,,$\tau$ is a bounded stopping time,W is a continuous time Brownian motion
2,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.547396,0.547396,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",W is a continuous time Brownian motion
2,D1,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.569742,0.569742,True,False,,,,,,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,W is a continuous time Brownian motion
2,D1,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.444051,0.000000,False,True,unrelated,0.000000,The model statement is about a different mathematical fact.,6239e2f6ef55c18f44487115cd60dd70e30f2d0aa5ba97f6f0e3163f9fc6cd60,False,,$\tau$ is a bounded stopping time.,W is a continuous time Brownian motion
