subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.617792,0.617792,True,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Optional Stopping Theorem for Martingales
1,D3,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.707262,0.707262,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",Expected value of Brownian motion at $\tau$ is zero
1,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.698075,0.698075,True,False,,,,,,,$W_t$ is a Brownian Motion.,Brownian motion is a martingale | $\tau$ is a bounded stopping time
1,D1,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,1.000000,1.000000,True,False,,,,,,,$\tau$ is a bounded stopping time,Brownian motion is a martingale | $\tau$ is a bounded stopping time
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.709261,0.709261,True,False,,,,,,,$(W_t)_{t\geq 0}$ is a martingale.,Brownian motion is a martingale | $\tau$ is a bounded stopping time
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.989610,0.989610,True,False,,,,,,,$\tau$ is a bounded stopping time.,Brownian motion is a martingale | $\tau$ is a bounded stopping time
2,D2,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.519427,0.519427,True,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Itô's lemma for f(w) = w^2
2,D3,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.824606,0.824606,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],E[W_τ^2] = 2τ
2,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.345944,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement is about a Brownian Motion.",d99c730197fc532a026d22d02b4e8b58188dbda26018a136ba47495f594314fe,True,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time
2,D1,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.933150,0.933150,True,False,,,,,,,$\tau$ is a bounded stopping time,τ is a bounded stopping time
2,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.401830,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is a necessary condition for the ground-truth statement, but it does not directly imply the expected value of the stopping time is zero.",eaf3b6dd50410ab910e6c07d2121fb2979e3a7561e5de47812c3e158a3da0b95,True,,"\[ \mathbb{E}[W_\tau] = 0, \]",τ is a bounded stopping time
2,D1,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.321378,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement is about a martingale.",a884f42f90e5ad83b07945f29a8ea78c7afb9992b34e3dc5cbd39b3aa2dc471b,True,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time
2,D1,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.927608,0.927608,True,False,,,,,,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time
