subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.359628,False
1,D2,arguments,2,,1,0.517433,True
1,D2,arguments,3,,2,1.000000,True
1,D2,arguments,4,,1,0.170299,False
1,D2,arguments,5,,1,0.193695,False
1,D2,arguments,6,,1,0.341109,False
1,D3,outcomes,1,,2,0.804829,True
1,D3,outcomes,2,,2,0.825277,True
1,D3,outcomes,3,,2,0.223376,False
1,D3,outcomes,4,,2,0.395378,True
1,D3,outcomes,5,,1,0.569309,True
1,D3,outcomes,6,,1,0.569309,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.603271,True
1,D1,required_precondition_coverage,2,gt_precondition,2,0.558112,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.917187,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.896349,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.744860,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.205041,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.148157,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.438776,True
2,D2,arguments,1,,1,0.066607,False
2,D2,arguments,2,,1,0.117893,False
2,D2,arguments,3,,1,1.000000,True
2,D2,arguments,4,,1,-0.054745,False
2,D3,outcomes,1,,1,0.326193,False
2,D3,outcomes,2,,1,0.452669,True
2,D3,outcomes,3,,2,0.557283,True
2,D3,outcomes,4,,1,0.502146,True
2,D1,required_precondition_coverage,1,previous_outcome,3,0.821117,True
2,D1,required_precondition_coverage,2,previous_outcome,2,0.710894,True
2,D1,required_precondition_coverage,3,previous_outcome,1,0.264298,False
2,D1,required_precondition_coverage,4,previous_outcome,2,0.193628,False
2,D1,required_precondition_coverage,5,previous_outcome,3,0.350530,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.433869,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.270391,False
2,D1,required_precondition_coverage,8,gt_precondition,2,0.396631,True
2,D1,required_precondition_coverage,9,gt_precondition,2,0.468214,True
2,D1,required_precondition_coverage,10,gt_precondition,2,0.663146,True
2,D1,required_precondition_coverage,11,gt_precondition,3,0.682987,True
2,D1,required_precondition_coverage,12,gt_precondition,1,0.542184,True
