status,call1_model,language,variation,exercise,strategy,prediction_path
found,tinyllama,en,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/baseline/pc2_q1_seq.yaml
found,tinyllama,en,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/baseline/pc2_q1_acc.yaml
found,tinyllama,en,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/baseline/pc2_q1_gtf.yaml
found,tinyllama,en,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/baseline/pc2_q1_self.yaml
missing,tinyllama,en,baseline,pc4_q4,seq,
missing,tinyllama,en,baseline,pc4_q4,acc,
found,tinyllama,en,baseline,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/baseline/pc4_q4_gtf.yaml
found,tinyllama,en,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/en/baseline/pc4_q4_self.yaml
found,llama3.2-1b,en,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/baseline/pc2_q1_seq.yaml
found,llama3.2-1b,en,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/baseline/pc2_q1_acc.yaml
found,llama3.2-1b,en,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/baseline/pc2_q1_gtf.yaml
found,llama3.2-1b,en,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/baseline/pc2_q1_self.yaml
found,llama3.2-1b,en,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/baseline/pc4_q4_seq.yaml
found,llama3.2-1b,en,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/baseline/pc4_q4_acc.yaml
found,llama3.2-1b,en,baseline,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/baseline/pc4_q4_gtf.yaml
found,llama3.2-1b,en,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/en/baseline/pc4_q4_self.yaml
found,deepseek-r1-1.5b,en,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc2_q1_seq.yaml
found,deepseek-r1-1.5b,en,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc2_q1_acc.yaml
found,deepseek-r1-1.5b,en,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc2_q1_gtf.yaml
found,deepseek-r1-1.5b,en,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc2_q1_self.yaml
found,deepseek-r1-1.5b,en,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc4_q4_seq.yaml
found,deepseek-r1-1.5b,en,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc4_q4_acc.yaml
found,deepseek-r1-1.5b,en,baseline,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc4_q4_gtf.yaml
found,deepseek-r1-1.5b,en,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/en/baseline/pc4_q4_self.yaml
