subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.300447,0.300447,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",X_0 = 0
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.433491,0.433491,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","(\mathcal{X}_s, \mathcal{X}_t) are centered Gaussian processes with equal variance"
1,D1,outcomes,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.834308,0.834308,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)","Cov(X_s, X_t) = \inf(s, t)"
1,D1,outcomes,1,4,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[4],gt_atom,0.450429,0.450429,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",(\mathcal{X}_t)_{t\in \R^+} is a Brownian motion
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.181262,0.181262,False,False,,,,,,,The process is therefore centered Gaussian,X_0 = 0
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.736890,0.736890,True,False,,,,,,,The process is therefore centered Gaussian,"(\mathcal{X}_s, \mathcal{X}_t) are centered Gaussian processes with equal variance"
1,D1,outcomes,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.345994,0.345994,False,False,,,,,,,The process is therefore centered Gaussian,"Cov(X_s, X_t) = \inf(s, t)"
1,D1,outcomes,2,4,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[4],gt_atom,0.426669,0.426669,True,False,,,,,,,The process is therefore centered Gaussian,(\mathcal{X}_t)_{t\in \R^+} is a Brownian motion
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.162084,0.162084,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent",X_0 = 0
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.128639,0.128639,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","(\mathcal{X}_s, \mathcal{X}_t) are centered Gaussian processes with equal variance"
1,D1,outcomes,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,0.222928,0.222928,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent","Cov(X_s, X_t) = \inf(s, t)"
1,D1,outcomes,3,4,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[4],gt_atom,0.165380,0.165380,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent",(\mathcal{X}_t)_{t\in \R^+} is a Brownian motion
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.266655,0.266655,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",X_0 = 0
1,D1,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.176318,0.176318,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","(\mathcal{X}_s, \mathcal{X}_t) are centered Gaussian processes with equal variance"
1,D1,outcomes,4,3,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[3],gt_atom,0.303596,0.303596,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).","Cov(X_s, X_t) = \inf(s, t)"
1,D1,outcomes,4,4,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[4],gt_atom,0.191071,0.191071,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",(\mathcal{X}_t)_{t\in \R^+} is a Brownian motion
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.011831,0.011831,False,False,,,,,,,the classical definition of Brownian motion.,X_0 = 0
1,D1,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.394249,0.394249,True,False,,,,,,,the classical definition of Brownian motion.,"(\mathcal{X}_s, \mathcal{X}_t) are centered Gaussian processes with equal variance"
1,D1,outcomes,5,3,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[3],gt_atom,0.266604,0.266604,False,False,,,,,,,the classical definition of Brownian motion.,"Cov(X_s, X_t) = \inf(s, t)"
