language,pair_id,source_statement_id,concept,label,variant_index,cosine,threshold,recommended_threshold,predicted_match,expected_match,correct_at_threshold,text_a,text_b
en,sem_0001_equivalent,sem_0001,brownian_motion,equivalent,1,0.856584,0.480000,0.480000,True,True,True,$W_t$ is a Brownian Motion.,W is a standard Brownian motion.
en,sem_0001_equivalent,sem_0001,brownian_motion,equivalent,2,0.494063,0.480000,0.480000,True,True,True,$W_t$ is a Brownian Motion.,W_t is a Wiener process indexed by time.
en,sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,1,0.630144,0.480000,0.480000,True,False,False,$W_t$ is a Brownian Motion.,Brownian motion has stationary independent Gaussian increments.
en,sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,2,0.590895,0.480000,0.480000,True,False,False,$W_t$ is a Brownian Motion.,A Brownian path is almost surely continuous.
en,sem_0001_unrelated,sem_0001,brownian_motion,unrelated,1,-0.012738,0.480000,0.480000,False,False,True,$W_t$ is a Brownian Motion.,The determinant of a triangular matrix is the product of its diagonal entries.
en,sem_0001_unrelated,sem_0001,brownian_motion,unrelated,2,0.268478,0.480000,0.480000,False,False,True,$W_t$ is a Brownian Motion.,A compact topological space has the Heine-Borel property in Euclidean space.
en,sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,1,0.587581,0.480000,0.480000,True,True,True,The process is therefore centered Gaussian,The process is Gaussian and has mean zero.
en,sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,2,0.386932,0.480000,0.480000,False,True,False,The process is therefore centered Gaussian,"All finite-dimensional distributions are Gaussian, and the expectation is zero."
en,sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,1,0.632348,0.480000,0.480000,True,False,False,The process is therefore centered Gaussian,A Gaussian process is determined by its mean and covariance function.
en,sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,2,0.736145,0.480000,0.480000,True,False,False,The process is therefore centered Gaussian,A Brownian motion is a centered Gaussian process.
en,sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,1,0.095569,0.480000,0.480000,False,False,True,The process is therefore centered Gaussian,A prime number has exactly two positive divisors.
en,sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,2,0.307488,0.480000,0.480000,False,False,True,The process is therefore centered Gaussian,The derivative of a constant function is zero.
en,sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,1,0.658216,0.480000,0.480000,True,True,True,Standard Brownian motion has Gaussian increments,"For Brownian motion, W_t - W_s is normally distributed."
en,sem_0003_equivalent,sem_0003,gaussian_increments,equivalent,2,0.711475,0.480000,0.480000,True,True,True,Standard Brownian motion has Gaussian increments,The increments of a Wiener process follow Gaussian laws.
en,sem_0003_related_but_not_equivalent,sem_0003,gaussian_increments,related_but_not_equivalent,1,0.672706,0.480000,0.480000,True,False,False,Standard Brownian motion has Gaussian increments,Brownian increments over disjoint intervals are independent.
en,sem_0003_related_but_not_equivalent,sem_0003,gaussian_increments,related_but_not_equivalent,2,0.638494,0.480000,0.480000,True,False,False,Standard Brownian motion has Gaussian increments,The variance of a Brownian increment depends on the length of the interval.
en,sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,1,0.115658,0.480000,0.480000,False,False,True,Standard Brownian motion has Gaussian increments,The eigenvalues of a diagonal matrix are its diagonal entries.
en,sem_0003_unrelated,sem_0003,gaussian_increments,unrelated,2,0.386633,0.480000,0.480000,False,False,True,Standard Brownian motion has Gaussian increments,A continuous function on a compact interval attains a maximum.
en,sem_0004_equivalent,sem_0004,independent_increments,equivalent,1,0.708756,0.480000,0.480000,True,True,True,disjoint increments are independent,Increments over non-overlapping intervals are independent.
en,sem_0004_equivalent,sem_0004,independent_increments,equivalent,2,0.473861,0.480000,0.480000,False,True,False,disjoint increments are independent,Changes on disjoint time intervals do not depend on one another.
en,sem_0004_related_but_not_equivalent,sem_0004,independent_increments,related_but_not_equivalent,1,0.489351,0.480000,0.480000,True,False,False,disjoint increments are independent,Brownian increments are Gaussian random variables.
en,sem_0004_related_but_not_equivalent,sem_0004,independent_increments,related_but_not_equivalent,2,0.437024,0.480000,0.480000,False,False,True,disjoint increments are independent,Brownian motion has stationary increments.
en,sem_0004_unrelated,sem_0004,independent_increments,unrelated,1,0.250272,0.480000,0.480000,False,False,True,disjoint increments are independent,The rank-nullity theorem relates the rank and nullity of a linear map.
en,sem_0004_unrelated,sem_0004,independent_increments,unrelated,2,0.380803,0.480000,0.480000,False,False,True,disjoint increments are independent,A convex function lies below each secant line on an interval.
en,sem_0005_equivalent,sem_0005,stationary_increments,equivalent,1,0.205215,0.480000,0.480000,False,True,False,This shows that the increments are stationary,The law of X_t - X_s depends only on t - s.
en,sem_0005_equivalent,sem_0005,stationary_increments,equivalent,2,0.623498,0.480000,0.480000,True,True,True,This shows that the increments are stationary,"The distribution of an increment depends on the interval length, not on its starting time."
en,sem_0005_related_but_not_equivalent,sem_0005,stationary_increments,related_but_not_equivalent,1,0.382861,0.480000,0.480000,False,False,True,This shows that the increments are stationary,Brownian motion has independent increments.
en,sem_0005_related_but_not_equivalent,sem_0005,stationary_increments,related_but_not_equivalent,2,0.513996,0.480000,0.480000,True,False,False,This shows that the increments are stationary,Brownian increments are normally distributed.
en,sem_0005_unrelated,sem_0005,stationary_increments,unrelated,1,0.196929,0.480000,0.480000,False,False,True,This shows that the increments are stationary,The roots of a quadratic polynomial are given by the quadratic formula.
en,sem_0005_unrelated,sem_0005,stationary_increments,unrelated,2,0.362781,0.480000,0.480000,False,False,True,This shows that the increments are stationary,The determinant changes sign when two matrix rows are exchanged.
en,sem_0006_equivalent,sem_0006,continuity_of_paths,equivalent,1,0.581934,0.480000,0.480000,True,True,True,plus the assumption of continuity of paths,The process has continuous sample paths.
en,sem_0006_equivalent,sem_0006,continuity_of_paths,equivalent,2,0.485125,0.480000,0.480000,True,True,True,plus the assumption of continuity of paths,"Almost surely, t maps to X_t continuously."
en,sem_0006_related_but_not_equivalent,sem_0006,continuity_of_paths,related_but_not_equivalent,1,0.523274,0.480000,0.480000,True,False,False,plus the assumption of continuity of paths,Kolmogorov's continuity theorem gives conditions for a continuous modification.
en,sem_0006_related_but_not_equivalent,sem_0006,continuity_of_paths,related_but_not_equivalent,2,0.626379,0.480000,0.480000,True,False,False,plus the assumption of continuity of paths,Brownian motion has continuous sample paths.
en,sem_0006_unrelated,sem_0006,continuity_of_paths,unrelated,1,0.312828,0.480000,0.480000,False,False,True,plus the assumption of continuity of paths,The gradient of a scalar field points in the direction of steepest ascent.
en,sem_0006_unrelated,sem_0006,continuity_of_paths,unrelated,2,0.105211,0.480000,0.480000,False,False,True,plus the assumption of continuity of paths,A finite group has order equal to the number of its elements.
en,sem_0007_equivalent,sem_0007,kolmogorov_continuity_theorem,equivalent,1,0.772190,0.480000,0.480000,True,True,True,by taking the continuous version via Kolmogorov's theorem,Kolmogorov's continuity theorem gives a continuous modification of the process.
en,sem_0007_equivalent,sem_0007,kolmogorov_continuity_theorem,equivalent,2,0.794195,0.480000,0.480000,True,True,True,by taking the continuous version via Kolmogorov's theorem,The Kolmogorov-Chentsov theorem provides conditions under which a stochastic process has a continuous version.
en,sem_0007_related_but_not_equivalent,sem_0007,kolmogorov_continuity_theorem,related_but_not_equivalent,1,0.443052,0.480000,0.480000,False,False,True,by taking the continuous version via Kolmogorov's theorem,Brownian motion has continuous sample paths.
en,sem_0007_related_but_not_equivalent,sem_0007,kolmogorov_continuity_theorem,related_but_not_equivalent,2,0.694935,0.480000,0.480000,True,False,False,by taking the continuous version via Kolmogorov's theorem,The Kolmogorov-Chentsov theorem is used to prove sample-path regularity.
en,sem_0007_unrelated,sem_0007,kolmogorov_continuity_theorem,unrelated,1,0.262013,0.480000,0.480000,False,False,True,by taking the continuous version via Kolmogorov's theorem,The inverse of an invertible matrix is unique.
en,sem_0007_unrelated,sem_0007,kolmogorov_continuity_theorem,unrelated,2,0.351024,0.480000,0.480000,False,False,True,by taking the continuous version via Kolmogorov's theorem,The integral of a polynomial is computed term by term.
en,sem_0008_equivalent,sem_0008,brownian_law_of_large_numbers,equivalent,1,0.595582,0.480000,0.480000,True,True,True,Hence by the law of large numbers for Brownian motion,"For Brownian motion, W_t divided by t converges to zero almost surely as t goes to infinity."
en,sem_0008_equivalent,sem_0008,brownian_law_of_large_numbers,equivalent,2,0.597090,0.480000,0.480000,True,True,True,Hence by the law of large numbers for Brownian motion,The long-time average growth rate of Brownian motion vanishes almost surely.
en,sem_0008_related_but_not_equivalent,sem_0008,brownian_law_of_large_numbers,related_but_not_equivalent,1,0.671138,0.480000,0.480000,True,False,False,Hence by the law of large numbers for Brownian motion,Brownian motion has sublinear growth along large times.
en,sem_0008_related_but_not_equivalent,sem_0008,brownian_law_of_large_numbers,related_but_not_equivalent,2,0.455490,0.480000,0.480000,False,False,True,Hence by the law of large numbers for Brownian motion,The strong law describes almost sure asymptotic averages.
en,sem_0008_unrelated,sem_0008,brownian_law_of_large_numbers,unrelated,1,0.315060,0.480000,0.480000,False,False,True,Hence by the law of large numbers for Brownian motion,A holomorphic function is complex differentiable in a neighborhood.
en,sem_0008_unrelated,sem_0008,brownian_law_of_large_numbers,unrelated,2,0.082091,0.480000,0.480000,False,False,True,Hence by the law of large numbers for Brownian motion,The trace of a square matrix is the sum of its diagonal entries.
en,sem_0009_equivalent,sem_0009,brownian_time_inversion,equivalent,1,0.554436,0.480000,0.480000,True,True,True,compute $\lim_{t \to 0^+} t W_{1/t}$,Study the limit at zero of the time-inverted Brownian motion t W_{1/t}.
en,sem_0009_equivalent,sem_0009,brownian_time_inversion,equivalent,2,0.549663,0.480000,0.480000,True,True,True,compute $\lim_{t \to 0^+} t W_{1/t}$,Use Brownian time inversion to analyze t W(1/t) as t tends to zero.
en,sem_0009_related_but_not_equivalent,sem_0009,brownian_time_inversion,related_but_not_equivalent,1,0.460227,0.480000,0.480000,False,False,True,compute $\lim_{t \to 0^+} t W_{1/t}$,The process t W_{1/t} is related to Brownian time inversion.
en,sem_0009_related_but_not_equivalent,sem_0009,brownian_time_inversion,related_but_not_equivalent,2,0.256740,0.480000,0.480000,False,False,True,compute $\lim_{t \to 0^+} t W_{1/t}$,Brownian scaling relates W_t and rescaled Brownian paths.
en,sem_0009_unrelated,sem_0009,brownian_time_inversion,unrelated,1,0.149995,0.480000,0.480000,False,False,True,compute $\lim_{t \to 0^+} t W_{1/t}$,Bayes' rule expresses a conditional probability using a likelihood and prior.
en,sem_0009_unrelated,sem_0009,brownian_time_inversion,unrelated,2,0.391031,0.480000,0.480000,False,False,True,compute $\lim_{t \to 0^+} t W_{1/t}$,The Fourier transform converts convolution into multiplication.
en,sem_0010_equivalent,sem_0010,bounded_stopping_time,equivalent,1,0.797453,0.480000,0.480000,True,True,True,$\tau$ is a bounded stopping time,Tau is a stopping time bounded by a deterministic finite constant.
en,sem_0010_equivalent,sem_0010,bounded_stopping_time,equivalent,2,0.480720,0.480000,0.480000,True,True,True,$\tau$ is a bounded stopping time,There exists M such that tau is less than or equal to M almost surely.
en,sem_0010_related_but_not_equivalent,sem_0010,bounded_stopping_time,related_but_not_equivalent,1,0.513214,0.480000,0.480000,True,False,False,$\tau$ is a bounded stopping time,A stopping time is a random time determined by the available filtration.
en,sem_0010_related_but_not_equivalent,sem_0010,bounded_stopping_time,related_but_not_equivalent,2,0.617596,0.480000,0.480000,True,False,False,$\tau$ is a bounded stopping time,Optional stopping theorems often require bounded stopping times.
en,sem_0010_unrelated,sem_0010,bounded_stopping_time,unrelated,1,0.316659,0.480000,0.480000,False,False,True,$\tau$ is a bounded stopping time,A vector space basis is a linearly independent spanning set.
en,sem_0010_unrelated,sem_0010,bounded_stopping_time,unrelated,2,0.414574,0.480000,0.480000,False,False,True,$\tau$ is a bounded stopping time,The area of a circle is pi times the square of its radius.
en,sem_0011_equivalent,sem_0011,martingale_property,equivalent,1,0.068155,0.480000,0.480000,False,True,False,$(W_t)_{t\geq 0}$ is a martingale.,Brownian motion is a martingale with respect to its natural filtration.
