subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.440847,0.000000,False,True,unrelated,0.000000,"Model statement describes a process, while ground-truth statement gives a formula for covariance.",a931aa6f9185aea9eed254bed6714816b03cbe977bbc6dcae695d844c6d86415,True,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",X_t 是布朗运动
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.806120,1.000000,True,True,equivalent,1.000000,Same formula for covariance.,04fee4d6bfcd9a8de5c19d1e6cab2fc8752a84e22520b022bd7accdd2dac1221,False,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。","X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = inf(s, t)"
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.351507,0.351507,False,False,,,,,,,因此该过程为零均值高斯过程。,X_t 是布朗运动
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.736491,1.000000,True,True,equivalent,1.000000,Same mathematical content with different wording.,0a9e5cf7f59ffa4e715f2f4810b13f9a76b483a83e3ffc0e5eba400fb06fee44,False,,因此该过程为零均值高斯过程。,"X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = inf(s, t)"
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.365808,0.365808,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,X_t 是布朗运动
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.538764,1.000000,True,True,equivalent,1.000000,Same mathematical property of uncorrelated increments in Gaussian processes.,5eb17c62168583e99065f6dcc9369956ff3615c3480a577a0f29c17c2942cdec,False,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,"X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = inf(s, t)"
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.491172,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement only mentions Brownian motion, but ground-truth statement specifies distribution and stationarity.",9ea8ca01b4de8ecdcb75b4cd6e78debe42ff2c6318cc02e9ee344381dbf470f4,True,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。",X_t 是布朗运动
1,D1,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.540272,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement lacks explicit mention of normal distribution parameters.,c548e9ee898f08c0bdb52058210646fdd5c41508c718e30690e0f9d401e0a563,False,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。","X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = inf(s, t)"
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.434002,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a specific example, but ground-truth statement defines the concept.",95cc9ab7dbbb179a15c8b03498f744dfd119823e3e1f990f7a7678b2225dedc1,True,,布朗运动的经典定义。,X_t 是布朗运动
1,D1,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.514509,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a property of the process, not its definition.",04f488365ff8a6686d8a1b9829be8d94b69276a1b3f68e289cfafbfc1afb9705,False,,布朗运动的经典定义。,"X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = inf(s, t)"
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.434002,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a specific example, but ground-truth statement defines the concept.",95cc9ab7dbbb179a15c8b03498f744dfd119823e3e1f990f7a7678b2225dedc1,True,,布朗运动的经典定义。,X_t 是布朗运动
