language,pair_id,source_statement_id,concept,label,variant_index,cosine,threshold,recommended_threshold,predicted_match,expected_match,correct_at_threshold,text_a,text_b
en,sem_0001_equivalent,sem_0001,brownian_motion,equivalent,1,0.943183,0.705000,0.705000,True,True,True,$W_t$ is a Brownian Motion.,W is a standard Brownian motion.
en,sem_0001_equivalent,sem_0001,brownian_motion,equivalent,2,0.869343,0.705000,0.705000,True,True,True,$W_t$ is a Brownian Motion.,W_t is a Wiener process indexed by time.
en,sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,1,0.836155,0.705000,0.705000,True,False,False,$W_t$ is a Brownian Motion.,Brownian motion has stationary independent Gaussian increments.
en,sem_0001_related_but_not_equivalent,sem_0001,brownian_motion,related_but_not_equivalent,2,0.825048,0.705000,0.705000,True,False,False,$W_t$ is a Brownian Motion.,A Brownian path is almost surely continuous.
en,sem_0001_unrelated,sem_0001,brownian_motion,unrelated,1,0.599342,0.705000,0.705000,False,False,True,$W_t$ is a Brownian Motion.,The determinant of a triangular matrix is the product of its diagonal entries.
en,sem_0001_unrelated,sem_0001,brownian_motion,unrelated,2,0.627265,0.705000,0.705000,False,False,True,$W_t$ is a Brownian Motion.,A compact topological space has the Heine-Borel property in Euclidean space.
en,sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,1,0.824253,0.705000,0.705000,True,True,True,The process is therefore centered Gaussian,The process is Gaussian and has mean zero.
en,sem_0002_equivalent,sem_0002,centered_gaussian_process,equivalent,2,0.648886,0.705000,0.705000,False,True,False,The process is therefore centered Gaussian,"All finite-dimensional distributions are Gaussian, and the expectation is zero."
en,sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,1,0.831431,0.705000,0.705000,True,False,False,The process is therefore centered Gaussian,A Gaussian process is determined by its mean and covariance function.
en,sem_0002_related_but_not_equivalent,sem_0002,centered_gaussian_process,related_but_not_equivalent,2,0.893055,0.705000,0.705000,True,False,False,The process is therefore centered Gaussian,A Brownian motion is a centered Gaussian process.
en,sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,1,0.496568,0.705000,0.705000,False,False,True,The process is therefore centered Gaussian,A prime number has exactly two positive divisors.
en,sem_0002_unrelated,sem_0002,centered_gaussian_process,unrelated,2,0.578574,0.705000,0.705000,False,False,True,The process is therefore centered Gaussian,The derivative of a constant function is zero.
