subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.025708,False
1,D2,arguments,2,,1,0.078710,False
1,D2,arguments,3,,1,1.000000,True
1,D2,arguments,4,,1,0.157305,False
1,D2,arguments,5,,1,-0.112936,False
1,D2,arguments,6,,1,0.009087,False
1,D3,outcomes,1,,2,0.818220,True
1,D3,outcomes,2,,2,0.763763,True
1,D3,outcomes,3,,2,0.174117,False
1,D3,outcomes,4,,2,0.500000,False
1,D3,outcomes,5,,2,1.000000,True
1,D3,outcomes,6,,2,1.000000,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.586786,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.513661,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.898064,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.932547,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.785726,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.171087,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.135605,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.626052,True
2,D2,arguments,2,,1,0.232435,False
2,D2,arguments,3,,2,1.000000,True
2,D2,arguments,4,,3,0.907975,True
2,D3,outcomes,1,,1,0.557881,True
2,D3,outcomes,2,,2,0.248065,False
2,D3,outcomes,3,,1,0.556497,True
2,D3,outcomes,4,,1,0.666976,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,3,1.000000,True
2,D1,required_precondition_coverage,3,previous_outcome,2,0.542060,True
2,D1,required_precondition_coverage,4,previous_outcome,2,0.584854,True
2,D1,required_precondition_coverage,5,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.663123,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.512177,True
2,D1,required_precondition_coverage,8,gt_precondition,2,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,11,gt_precondition,2,0.254182,False
2,D1,required_precondition_coverage,12,gt_precondition,3,0.941649,True
