subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.883077,0.000000,False,True,unrelated,0.800000,"Model statement assumes W_0 = 0, which is not mentioned in the ground-truth statement.",0158ff6ccc921a2e59f4ef3062d68816943e837fa3e0152a510483a6bc32136b,False,,"\[ \mathbb{E}[W_\tau] = 0, \]","W_0 = 0 | Therefore, E[W_τ] = 0"
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.663615,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement lacks explicit mention of Doob's theorem application to (W_t)_{t\geq 0} at τ.,b437a8128adde7100c6718a00df346b3cc02f92d8d6d0c891d508378c839cff4,False,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,W_t is a martingale (Brownian motion) | Optional Stopping Theorem applies for bounded stopping times | E[W_τ] = E[W_0]
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.345944,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement describes properties of a Brownian Motion.",dba94e1394184683568292b581e0c14e80435780ca8f0d00709eec2e79f26633,True,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.933150,1.000000,True,True,equivalent,1.000000,Same wording and notation used.,2a458332fafb7d95b3499bb81c8a4f6565762f8f6d00cfce919a7030b3d6d02b,True,,$\tau$ is a bounded stopping time,τ is a bounded stopping time
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.363890,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement is about a martingale process.",01b6c56cb9a4b8839c7c75391b70e90b4fbab96d663d1630796915b902048e8b,True,,$(W_t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.927608,1.000000,True,True,equivalent,1.000000,Same wording and notation.,98d82c1c8ca8257634a9f44a266bacdd285d5de265d784ae50529a3ed9765a06,True,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.865885,1.000000,True,True,equivalent,1.000000,Same mathematical expression with identical notation.,82efcfb45e67c40537fa71acb1b1428ee0e84178351ae1b314b1001653af08b6,False,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],"Therefore, E[W_τ²] = E[τ]"
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.582773,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is missing the application of Doob's theorem to (W_t^2-t) at τ, and only states a consequence.",0cc2764246e85421a7f8c7910fe692067ff850a79a1555e02006534ae553a8c7,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,"W_t^2 - t is a martingale (from Itô's formula) | Optional Stopping Theorem applies for bounded stopping times | E[W_τ² - τ] = E[W_0²] | W_0 = 0, so E[W_0²] = 0"
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.345944,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement describes properties of a Brownian Motion.",dba94e1394184683568292b581e0c14e80435780ca8f0d00709eec2e79f26633,True,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.933150,1.000000,True,True,equivalent,1.000000,Same wording and notation used.,2a458332fafb7d95b3499bb81c8a4f6565762f8f6d00cfce919a7030b3d6d02b,True,,$\tau$ is a bounded stopping time,τ is a bounded stopping time
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.401830,0.000000,False,True,unrelated,0.000000,"The model statement is about a property of τ, while the ground-truth statement is an equation involving Wτ.",67b11711b90c385b85727aafd39c9b468e6be0beacfd9fd2fbca1035a98e85e1,True,,"\[ \mathbb{E}[W_\tau] = 0, \]",τ is a bounded stopping time
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.321378,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement concerns a martingale property.",5eee604fac4e2b5e98656e8e067529fc51c6768a00c6050c55065d60c1a5273f,True,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.927608,1.000000,True,True,equivalent,1.000000,Same wording and notation.,98d82c1c8ca8257634a9f44a266bacdd285d5de265d784ae50529a3ed9765a06,True,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time
