subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.865240,1.000000,True,True,equivalent,1.000000,Same mathematical expression with identical notation.,d426adea4c9ed5ed1bd709cf71ca6c1d0630061ded8d18006334cd1fd2937ba4,True,,"\[ \mathbb{E}[W_\tau] = 0, \]",E(W_τ) = 0
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,-0.062874,-0.062874,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Calculation
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.345944,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement describes properties of a Brownian Motion.",dba94e1394184683568292b581e0c14e80435780ca8f0d00709eec2e79f26633,True,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.933150,1.000000,True,True,equivalent,1.000000,Same wording and notation used.,2a458332fafb7d95b3499bb81c8a4f6565762f8f6d00cfce919a7030b3d6d02b,True,,$\tau$ is a bounded stopping time,τ is a bounded stopping time
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.363890,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement is about a martingale process.",01b6c56cb9a4b8839c7c75391b70e90b4fbab96d663d1630796915b902048e8b,True,,$(W_t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.927608,1.000000,True,True,equivalent,1.000000,Same wording and notation.,98d82c1c8ca8257634a9f44a266bacdd285d5de265d784ae50529a3ed9765a06,True,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.887480,0.000000,False,True,unrelated,0.000000,Different mathematical expressions for expectation of squared wealth and time.,61fcba8667dcc0033eb70e1cb954cedc1176020f105858477df30f4d1908923d,False,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],E(W_tau^2) = sigma^2 tau
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,-0.040596,-0.040596,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Calculation
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.761908,0.000000,False,True,unrelated,0.800000,"The model statement mentions a martingale property, which is not present in the ground-truth statement.",ed4afc739c8a85df9a1a93a40e6668d71f1e7fd89fe5221fc6baa15da9129cde,False,,$W_t$ is a Brownian Motion.,Brownian motion (W_t)_{t\geq 0} has the property that it is a martingale. | $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,1.000000,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is on the same topic, but it's incomplete and doesn't directly address the boundedness of $\tau$.",3dcfa75fd96e98b2319a58924e871cf431fec8e404ac6de2bbac4a485b46903f,False,,$\tau$ is a bounded stopping time,Brownian motion (W_t)_{t\geq 0} has the property that it is a martingale. | $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.566340,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is weaker because it only considers a bounded stopping time, whereas the ground-truth statement has no restriction on τ.",a9b36dd8a5c181958db00ec099eef040ce7b1fff3df4557d188c5d62a3a2f4f8,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",Brownian motion (W_t)_{t\geq 0} has the property that it is a martingale. | $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.803236,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement is broader and does not specify the process of interest.,e5e5b804c43a351d0ccf3ba02e3e3f3b5087dcc0e71489ac24d29a1b99f8d69a,False,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,Brownian motion (W_t)_{t\geq 0} has the property that it is a martingale. | $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.989610,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is on a different topic, but mentions the stopping time τ.",f3b4517c16eabeaf07d23b0e350417689846e2fd58bc77f00cad01c475e9a6bc,False,,$\tau$ is a bounded stopping time.,Brownian motion (W_t)_{t\geq 0} has the property that it is a martingale. | $\tau$ is a bounded stopping time
