subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.624386,True
1,D3,outcomes,1,,1,0.897441,True
1,D1,required_precondition_coverage,1,global_assumption,1,0.965468,True
1,D1,required_precondition_coverage,2,local_assumption,1,0.970227,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.735898,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.968131,True
2,D2,arguments,1,,1,0.515278,True
2,D3,outcomes,1,,1,0.890909,True
2,D1,required_precondition_coverage,1,global_assumption,1,0.965468,True
2,D1,required_precondition_coverage,2,local_assumption,1,0.933150,True
2,D1,required_precondition_coverage,3,previous_outcome,1,0.601745,True
2,D1,required_precondition_coverage,4,gt_precondition,1,0.663880,True
2,D1,required_precondition_coverage,5,gt_precondition,1,0.927608,True
