subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,1.000000,True
1,D1,outcomes,2,,1,1.000000,True
1,D1,outcomes,3,,1,0.239208,False
1,D1,outcomes,4,,1,0.320315,False
1,D1,outcomes,5,,2,0.500000,False
1,D1,outcomes,6,,2,0.500000,False
1,D3,arguments,1,,1,0.500000,False
1,D3,arguments,2,,2,0.328699,False
1,D3,arguments,3,,2,-0.006232,False
1,D3,arguments,4,,1,0.296816,False
1,D3,arguments,5,,1,0.338951,False
1,D3,arguments,6,,1,0.500000,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,2,gt_precondition,1,0.500000,False
1,D4,required_precondition_coverage,3,gt_precondition,2,1.000000,True
1,D4,required_precondition_coverage,4,gt_precondition,2,1.000000,True
1,D4,required_precondition_coverage,5,gt_precondition,2,0.500000,False
1,D4,required_precondition_coverage,6,gt_precondition,1,0.281124,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.205540,False
1,D4,required_precondition_coverage,8,gt_precondition,2,0.500000,False
2,D1,outcomes,1,,2,0.200058,False
2,D1,outcomes,2,,1,1.000000,True
2,D1,outcomes,3,,3,1.000000,True
2,D1,outcomes,4,,5,0.251787,False
2,D3,arguments,1,,5,0.273848,False
2,D3,arguments,2,,1,1.000000,True
2,D3,arguments,3,,4,0.161301,False
2,D3,arguments,4,,5,0.323330,False
2,D4,required_precondition_coverage,1,previous_outcome,4,0.349480,False
2,D4,required_precondition_coverage,2,previous_outcome,4,1.000000,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.344880,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.500000,False
2,D4,required_precondition_coverage,5,previous_outcome,4,0.500000,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.500000,False
2,D4,required_precondition_coverage,7,gt_precondition,1,0.347357,False
2,D4,required_precondition_coverage,8,gt_precondition,2,0.314751,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D4,required_precondition_coverage,11,gt_precondition,2,0.334679,False
2,D4,required_precondition_coverage,12,gt_precondition,1,1.000000,True
