subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,2,0.703505,True
1,D2,arguments,2,,2,1.000000,True
1,D2,arguments,3,,2,0.250359,False
1,D2,arguments,4,,2,1.000000,True
1,D2,arguments,5,,1,0.392134,False
1,D2,arguments,6,,1,0.314479,False
1,D3,outcomes,1,,2,0.943406,True
1,D3,outcomes,2,,2,0.736491,True
1,D3,outcomes,3,,2,1.000000,True
1,D3,outcomes,4,,1,0.500000,False
1,D3,outcomes,5,,2,0.500000,False
1,D3,outcomes,6,,2,0.500000,False
1,D1,required_precondition_coverage,1,gt_precondition,1,1.000000,True
1,D1,required_precondition_coverage,2,gt_precondition,1,1.000000,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.900591,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.726554,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.689673,True
1,D1,required_precondition_coverage,6,gt_precondition,2,0.716137,True
1,D1,required_precondition_coverage,7,gt_precondition,1,0.459921,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.274482,False
2,D2,arguments,2,,1,0.477895,False
2,D2,arguments,3,,1,0.043284,False
2,D2,arguments,4,,1,0.339069,False
2,D3,outcomes,1,,1,0.263782,False
2,D3,outcomes,2,,1,0.253487,False
2,D3,outcomes,3,,1,0.500000,False
2,D3,outcomes,4,,1,0.463988,False
2,D1,required_precondition_coverage,1,previous_outcome,1,0.341437,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.229873,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.300463,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.307968,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.449604,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.210998,False
2,D1,required_precondition_coverage,7,gt_precondition,1,1.000000,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.363035,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.450235,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.500000,False
