subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.500000,False
1,D3,outcomes,1,,1,0.919430,True
1,D1,required_precondition_coverage,1,global_assumption,1,0.869730,True
1,D1,required_precondition_coverage,2,local_assumption,1,0.974314,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.679223,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.961507,True
2,D2,arguments,1,,1,-0.040596,False
2,D3,outcomes,1,,1,0.857490,True
2,D1,required_precondition_coverage,1,global_assumption,1,0.803899,True
2,D1,required_precondition_coverage,2,local_assumption,1,0.933150,True
2,D1,required_precondition_coverage,3,previous_outcome,1,0.580428,True
2,D1,required_precondition_coverage,4,gt_precondition,1,0.552275,True
2,D1,required_precondition_coverage,5,gt_precondition,1,0.927608,True
