subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.526137,0.526137,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",La formule est exactement : $$\\EE\\left[W_τ \\mid W_{τ - \\Delta t}\\right] = \\EE\\left[W_t\\right] + (D\\Delta t)W_0$$ où D désigne la discretisation numérique de la durée τ.
1,D1,outcomes,1,2,subquestions[1].atoms/list[1],subquestions[1].atoms/list[2],gt_atom,0.547739,0.547739,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",La formule devient : $$\\EE(W_τ) = \\EE\\left[W_t\\right] + (D\\Delta t)1 = W_t$$
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.449831,0.449831,False,False,,,,,,,Appliquez le théorème d'arrêt optionnel de Doob à $(W_t)_{t\geq 0}$ au temps d'arrêt $\tau$,Calculer l'espérance de W_τ
1,D3,arguments,1,2,subquestions[1].atoms/list[1],subquestions[1].atoms/list[2],gt_atom,0.449831,0.449831,False,False,,,,,,,Appliquez le théorème d'arrêt optionnel de Doob à $(W_t)_{t\geq 0}$ au temps d'arrêt $\tau$,Calculer l'espérance de W_τ
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.377229,0.377229,False,False,,,,,,,$W_t$ est un mouvement brownien.,Le temps d'arrêt τ est borné
1,D4,required_precondition_coverage,1,2,assumption_global[1],subquestions[1].atoms/list[2],global_assumption,0.369809,0.369809,False,False,,,,,,,$W_t$ est un mouvement brownien.,W_0 = 1
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.716768,0.716768,True,False,,,,,,,$\tau$ est un temps d'arr\^et born\'e,Le temps d'arrêt τ est borné
1,D4,required_precondition_coverage,2,2,subquestions[1].assumptions[1],subquestions[1].atoms/list[2],local_assumption,0.087035,0.087035,False,False,,,,,,,$\tau$ est un temps d'arr\^et born\'e,W_0 = 1
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.189004,0.189004,False,False,,,,,,,$(W_t)_{t\geq 0}$ est une martingale.,Le temps d'arrêt τ est borné
1,D4,required_precondition_coverage,3,2,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.384401,0.384401,False,False,,,,,,,$(W_t)_{t\geq 0}$ est une martingale.,W_0 = 1
