subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.549315,0.549315,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.529903,0.529903,True,False,,,,,,,The process is therefore centered Gaussian,A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.182185,0.182185,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent",A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.229267,0.229267,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.617541,0.617541,True,False,,,,,,,the classical definition of Brownian motion.,A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.617541,0.617541,True,False,,,,,,,the classical definition of Brownian motion.,A process \( (X_t)_{t \in \mathbb{R}^+} \) is a Brownian motion.
1,D3,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.309695,0.309695,False,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),Definition of Brownian Motion
1,D3,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.200482,0.200482,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Definition of Brownian Motion
1,D3,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,-0.063289,-0.063289,False,False,,,,,,,Calculation,Definition of Brownian Motion
1,D3,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.225419,0.225419,False,False,,,,,,,thus the law depends only on \(t-s\),Definition of Brownian Motion
1,D3,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.189591,0.189591,False,False,,,,,,,plus the assumption of continuity of paths,Definition of Brownian Motion
1,D3,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.215755,0.215755,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,Definition of Brownian Motion
1,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.619859,0.619859,True,False,,,,,,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).","A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
1,D4,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.501187,0.501187,True,False,,,,,,,Standard Brownian motion has Gaussian increments,"A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.511675,0.511675,True,False,,,,,,,"\(X_0 = 0\),","A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.761015,0.761015,True,False,,,,,,,"Using property ${\rm Cov}(X_s,X_t)=\inf(s,t).$","A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
1,D4,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.703653,0.703653,True,False,,,,,,,"Compute $\text{Cov}(X_t - X_s, X_v - X_u)$ for \(s < t \leq u < v\).","A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
1,D4,required_precondition_coverage,6,1,subquestions[1].atoms/set[2]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.189122,0.189122,False,False,,,,,,,Compute the variance of an increment of $X$,"A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
1,D4,required_precondition_coverage,7,1,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.060344,0.060344,False,False,,,,,,,disjoint increments are independent,"A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
1,D4,required_precondition_coverage,8,1,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.427544,0.427544,True,False,,,,,,,"the law of increments is Gaussian centered of variance $t-s$, i.e. \(\mathcal{N}(0, t-s)\),","A process \( (X_t)_{t \in \mathbb{R}^+} \) starts at zero. | The process \( (X_t)_{t \in \mathbb{R}^+} \) is a centered Gaussian process. | The covariance of the process \( (X_t)_{t \in \mathbb{R}^+} \) is given by \( \text{Cov}(X_s,X_t)=\min(s,t).$"
2,D1,outcomes,1,1,subquestions[2].atoms/set[1],subquestions[2].atoms/list[1],gt_atom,0.314305,0.314305,False,False,,,,,,,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.,The transformed process is a Brownian motion too
2,D1,outcomes,2,1,subquestions[2].atoms/set[2],subquestions[2].atoms/list[1],gt_atom,0.245493,0.245493,False,False,,,,,,,thus it is centered Gaussian. \\,The transformed process is a Brownian motion too
2,D1,outcomes,3,1,subquestions[2].atoms/set[3],subquestions[2].atoms/list[1],gt_atom,0.396084,0.500000,True,True,partially_correct,0.800000,"The model statement is about a property of the transformed process, but does not explicitly state its relation to the expectation of X_t X_s.",4b8d94882403e499b740d40dea667a25887b1cdbbd5a86d7e479feb5e992cbb2,False,,"i.e. $\mathbb{E}[X_t X_s] = \min(t,s)$. \\",The transformed process is a Brownian motion too
2,D1,outcomes,4,1,subquestions[2].atoms/set[4],subquestions[2].atoms/list[1],gt_atom,0.643047,0.643047,True,False,,,,,,,that \(X\) is a Brownian motion.,The transformed process is a Brownian motion too
2,D3,arguments,1,1,subquestions[2].atoms/set[1],subquestions[2].atoms/list[1],gt_atom,0.543378,0.543378,True,False,,,,,,,Hence by the law of large numbers for Brownian motion,Scaling and transformation of Brownian motion
2,D3,arguments,2,1,subquestions[2].atoms/set[2],subquestions[2].atoms/list[1],gt_atom,0.233763,0.233763,False,False,,,,,,,is a linear combination of the \(W_{1/t_i}\),Scaling and transformation of Brownian motion
2,D3,arguments,3,1,subquestions[2].atoms/set[3],subquestions[2].atoms/list[1],gt_atom,0.025758,0.025758,False,False,,,,,,,Calculation,Scaling and transformation of Brownian motion
2,D3,arguments,4,1,subquestions[2].atoms/set[4],subquestions[2].atoms/list[1],gt_atom,0.613327,0.613327,True,False,,,,,,,we get by definition of a Brownian motion,Scaling and transformation of Brownian motion
2,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.400795,0.000000,False,True,unrelated,0.000000,"The model statement describes a property of a stochastic process, while the ground-truth statement is about covariance between two random variables.",daa899af4223630470b571b226cdfe02f44527982a4250f9e5150d2a9d3cf087,False,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",W_t is a Brownian motion
2,D4,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.393774,0.500000,True,True,partially_correct,0.800000,"Model statement implies a Gaussian process, but lacks explicit mention of centrality.",af5cbfa2b2a7a068455d1a515b8bb78c1a28356ac83c9f2fb3fde9fdd4cda9f1,False,,The process is therefore centered Gaussian,W_t is a Brownian motion
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/set[2]/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.205889,0.205889,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent",W_t is a Brownian motion
