subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.856242,0.856242,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",E[W_τ] = E[W_0] = 0
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.624386,0.624386,True,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Optional Stopping Theorem
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.894102,0.894102,True,False,,,,,,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time | W_t is a Brownian motion (martingale)
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.933150,0.933150,True,False,,,,,,,$\tau$ is a bounded stopping time,τ is a bounded stopping time | W_t is a Brownian motion (martingale)
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.848761,0.848761,True,False,,,,,,,$(W_t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time | W_t is a Brownian motion (martingale)
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.927608,0.927608,True,False,,,,,,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time | W_t is a Brownian motion (martingale)
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.964144,0.964144,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],"Thus, $ \E[W_\tau^2] = \E[\tau] $."
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.674645,0.674645,True,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Apply the Optional Stopping Theorem to $ M_t $ at $ \tau $.
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.869730,0.869730,True,False,,,,,,,$W_t$ is a Brownian Motion.,"Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion. | Let $ M_t = W_t^2 - t $, which is a martingale."
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.974314,0.974314,True,False,,,,,,,$\tau$ is a bounded stopping time,"Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion. | Let $ M_t = W_t^2 - t $, which is a martingale."
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.547034,0.547034,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]","Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion. | Let $ M_t = W_t^2 - t $, which is a martingale."
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.872994,0.872994,True,False,,,,,,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,"Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion. | Let $ M_t = W_t^2 - t $, which is a martingale."
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.961507,0.961507,True,False,,,,,,,$\tau$ is a bounded stopping time.,"Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion. | Let $ M_t = W_t^2 - t $, which is a martingale."
