subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.355771,False
1,D3,outcomes,1,,1,0.836892,True
1,D1,required_precondition_coverage,1,global_assumption,1,0.833759,True
1,D1,required_precondition_coverage,2,local_assumption,1,0.933150,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.606876,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.927608,True
2,D2,arguments,1,,1,0.433024,True
2,D3,outcomes,1,,1,0.817010,True
2,D1,required_precondition_coverage,1,global_assumption,1,0.348656,False
2,D1,required_precondition_coverage,2,local_assumption,1,0.975164,True
2,D1,required_precondition_coverage,3,previous_outcome,1,0.452245,True
2,D1,required_precondition_coverage,4,gt_precondition,1,0.341598,False
2,D1,required_precondition_coverage,5,gt_precondition,1,0.968297,True
