subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,3,0.804829,True
1,D1,outcomes,2,,2,0.633038,True
1,D1,outcomes,3,,2,0.313305,False
1,D1,outcomes,4,,3,0.308627,False
1,D1,outcomes,5,,2,0.393198,True
1,D1,outcomes,6,,2,0.393198,True
1,D3,arguments,1,,1,0.426179,True
1,D3,arguments,2,,1,0.226764,False
1,D3,arguments,3,,2,0.224369,False
1,D3,arguments,4,,1,0.409230,True
1,D3,arguments,5,,1,0.279342,False
1,D3,arguments,6,,1,0.393264,True
1,D4,required_precondition_coverage,1,gt_precondition,1,0.603271,True
1,D4,required_precondition_coverage,2,gt_precondition,3,0.591591,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.917187,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.896349,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.744860,True
1,D4,required_precondition_coverage,6,gt_precondition,2,0.205422,False
1,D4,required_precondition_coverage,7,gt_precondition,3,0.223368,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.438776,True
2,D1,outcomes,1,,1,0.608170,True
2,D1,outcomes,2,,1,0.153045,False
2,D1,outcomes,3,,1,0.543635,True
2,D1,outcomes,4,,1,0.585425,True
2,D3,arguments,1,,1,0.066607,False
2,D3,arguments,2,,1,0.117893,False
2,D3,arguments,3,,1,1.000000,True
2,D3,arguments,4,,1,-0.054745,False
2,D4,required_precondition_coverage,1,previous_outcome,1,0.400795,True
2,D4,required_precondition_coverage,2,previous_outcome,1,0.393774,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.367629,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.345451,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.293874,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.429413,True
2,D4,required_precondition_coverage,10,gt_precondition,1,0.371362,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.411884,True
2,D4,required_precondition_coverage,12,gt_precondition,1,0.878242,True
