subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.407726,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a concept, but ground-truth statement is a specific application.",433369ea3361e709bae9da3baeb5a34dfa42b275ad1da9867eedcb7eed0a6407,False,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,The definition of expectation for a stopped process
1,D3,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.838685,0.838685,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",$\E(W_\tau) = \frac{W_{\tau^+} + W_{\tau^-}}{2}$
1,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.261322,0.261322,False,False,,,,,,,$W_t$ is a Brownian Motion.,$	au$ is a bounded stopping time
1,D1,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.754936,0.754936,True,False,,,,,,,$\tau$ is a bounded stopping time,$	au$ is a bounded stopping time
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.308915,0.000000,False,True,unrelated,0.000000,Martingale property is unrelated to bounded stopping times.,522fd0bcd3c242ede6af9f18add5249b5de31e3d26cf01f5fcd4fe7dac417ff4,True,,$(W_t)_{t\geq 0}$ is a martingale.,$	au$ is a bounded stopping time
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.743488,0.743488,True,False,,,,,,,$\tau$ is a bounded stopping time.,$	au$ is a bounded stopping time
2,D2,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.321626,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a general concept, while ground-truth statement applies a specific theorem.",9f0aa4338cf6580477b3bff9f0537a33cf72f9e5b23a103b57f11844185c50e9,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,The definition of expectation for a stopped process
2,D2,arguments,1,2,subquestions[2].atoms/list[1],subquestions[2].atoms/list[2],gt_atom,0.646003,0.646003,True,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,The property that $\E(W_t^2) = t$ for all $t \geq 0$
2,D3,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.887603,0.887603,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],$\E(W_\tau^2) = \frac{W_{\tau^+}^2 + W_{\tau^-}^2}{2}$
2,D3,outcomes,1,2,subquestions[2].atoms/list[1],subquestions[2].atoms/list[2],gt_atom,0.910008,0.910008,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],$\E(W_{\tau^+}^2) = \tau^+$ | $\E(W_{\tau^-}^2) = \tau^-$
2,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.261322,0.261322,False,False,,,,,,,$W_t$ is a Brownian Motion.,$	au$ is a bounded stopping time
2,D1,required_precondition_coverage,1,2,assumption_global[1],subquestions[2].atoms/list[2],global_assumption,0.261322,0.261322,False,False,,,,,,,$W_t$ is a Brownian Motion.,$	au$ is a bounded stopping time
2,D1,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.754936,0.754936,True,False,,,,,,,$\tau$ is a bounded stopping time,$	au$ is a bounded stopping time
2,D1,required_precondition_coverage,2,2,subquestions[2].assumptions[1],subquestions[2].atoms/list[2],local_assumption,0.754936,0.754936,True,False,,,,,,,$\tau$ is a bounded stopping time,$	au$ is a bounded stopping time
2,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.231744,0.231744,False,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",$	au$ is a bounded stopping time
2,D1,required_precondition_coverage,3,2,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[2],previous_outcome,0.231744,0.231744,False,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",$	au$ is a bounded stopping time
2,D1,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.242578,0.242578,False,False,,,,,,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,$	au$ is a bounded stopping time
2,D1,required_precondition_coverage,4,2,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[2],gt_precondition,0.242578,0.242578,False,False,,,,,,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,$	au$ is a bounded stopping time
2,D1,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.743488,0.743488,True,False,,,,,,,$\tau$ is a bounded stopping time.,$	au$ is a bounded stopping time
2,D1,required_precondition_coverage,5,2,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[2],gt_precondition,0.743488,0.743488,True,False,,,,,,,$\tau$ is a bounded stopping time.,$	au$ is a bounded stopping time
