subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.514751,True
1,D1,outcomes,2,,1,0.426392,True
1,D1,outcomes,3,,1,0.168197,False
1,D1,outcomes,4,,1,0.225493,False
1,D1,outcomes,5,,1,0.569309,True
1,D1,outcomes,6,,1,0.569309,True
1,D3,arguments,1,,1,0.414397,True
1,D3,arguments,2,,1,0.243808,False
1,D3,arguments,3,,1,-0.108736,False
1,D3,arguments,4,,1,0.244973,False
1,D3,arguments,5,,1,0.231602,False
1,D3,arguments,6,,1,0.262978,False
1,D4,required_precondition_coverage,1,gt_precondition,1,0.558734,True
1,D4,required_precondition_coverage,2,gt_precondition,1,0.553066,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.917187,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.778871,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.722587,True
1,D4,required_precondition_coverage,6,gt_precondition,1,0.205041,False
1,D4,required_precondition_coverage,7,gt_precondition,1,0.148157,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.438776,True
2,D1,outcomes,1,,1,0.303544,False
2,D1,outcomes,2,,1,0.217856,False
2,D1,outcomes,3,,1,0.614301,True
2,D1,outcomes,4,,1,0.701654,True
2,D3,arguments,1,,1,0.528160,True
2,D3,arguments,2,,1,0.222715,False
2,D3,arguments,3,,1,0.041897,False
2,D3,arguments,4,,1,0.564349,True
2,D4,required_precondition_coverage,1,previous_outcome,1,0.478930,True
2,D4,required_precondition_coverage,2,previous_outcome,1,0.393774,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.367629,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.281997,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.714975,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.432546,True
2,D4,required_precondition_coverage,9,gt_precondition,1,0.532393,True
2,D4,required_precondition_coverage,10,gt_precondition,1,0.371362,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.411884,True
2,D4,required_precondition_coverage,12,gt_precondition,1,0.878242,True
