subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.836892,0.000000,False,True,unrelated,0.000000,"Model statement is a specific value, while ground-truth statement is an expectation.",9a63046a571bc7e64413b62b95b03a20895e540cbbc838ef4eb10ba1f11c8151,True,,"\[ \mathbb{E}[W_\tau] = 0, \]",E[W_τ] = W_0
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.355771,0.000000,False,True,unrelated,0.000000,"Model statement is a general property, while ground-truth statement applies it to a specific process.",990eb328e4991d37bd5eb2979d578e29bbd43d0578cc83f5754800c9868de22b,False,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Martingale Property
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.833759,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement is stronger and includes an additional hypothesis about τ.,4c9ae9c61af768afab16f5fa95fda743c2ff32e11aa0d1c3d7fdc8937e12f266,False,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time | W is a Brownian motion
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.933150,1.000000,True,True,equivalent,1.000000,Same mathematical content with identical wording.,94b0e13cd78c5beeae21dec9e626fb76a4528ba511785e18506ee682f93ab456,False,,$\tau$ is a bounded stopping time,τ is a bounded stopping time | W is a Brownian motion
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.606876,0.000000,False,True,unrelated,0.000000,"The model statement mentions a stopping time τ, which is not present in the ground-truth statement.",3dad6f7860a2ce5fbd101638ecc16cfa8de912c6dfc75c2ed57b9a70c6c8bee0,False,,$(W_t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time | W is a Brownian motion
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.927608,1.000000,True,True,equivalent,1.000000,Same mathematical content with identical wording.,3ee973dea29186942feaeb02d1b9f64bf4e92e772cde848f4e82db757054cae3,False,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time | W is a Brownian motion
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.817010,0.000000,False,True,unrelated,0.000000,"Model statement refers to W₀, whereas ground-truth statement involves expectation of τ.",5f0bd00d2cd81622ba99d262efae3adddfda3f070a4224c15d5d131041bd8d22,False,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],E(W_τ²) = W₀
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.433024,0.000000,False,True,unrelated,0.000000,"The model statement is about a general property of Brownian motion, while the ground-truth statement applies a specific theorem to a particular process.",e53e1e14bbb505318345bd9e0ecbc27ef6a6ad4a537ab9eeb48e6adf776f5cd7,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Martingale property of Brownian motion
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.348656,0.000000,False,True,unrelated,0.000000,"The model statement mentions a stopping time, which is not relevant to the definition of Brownian Motion.",ea2eaed920938f4c36c0506f21624673a819194bf88ae1c23b93b57f3e909041,True,,$W_t$ is a Brownian Motion.,When $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.975164,1.000000,True,True,equivalent,1.000000,Same mathematical content with different wording.,2340e7cdfce4de8011756517749bb516a846a625fcedba1c8158d5366c9b0ac9,True,,$\tau$ is a bounded stopping time,When $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.452245,0.000000,False,True,unrelated,0.000000,Model statement introduces a new condition on stopping time τ.,f30e7b46028f1e0ba915da63a238b66b5ee8e60d10e3f7dc03533b2b8f4fc7b6,True,,"\[ \mathbb{E}[W_\tau] = 0, \]",When $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.341598,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement concerns a martingale property.",4e280d2752db29cdd2d02b04b34c1325b8212b2bd9ab2fc74d9f116b27b7100b,True,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,When $\tau$ is a bounded stopping time
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.968297,1.000000,True,True,equivalent,1.000000,Same definition of bounded stopping time.,3d3143771700b071d61a01f225b2e03d0a17d3230b8530af4f2e41286325709f,True,,$\tau$ is a bounded stopping time.,When $\tau$ is a bounded stopping time
