status,error,exercise,strategy,call1_model,language,variation,embedding_model,threshold,judge_model,judge_low_threshold,judge_high_threshold,ground_truth_subquestions,prediction_subquestions,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_mean_best_score,D4_coverage,D4_precision,D4_f1,D2_order_score,D2_order_coverage,D2_strict_order_score,D2_total_constraints,D2_respected_constraints,D2_violated_constraints,D2_unmatched_constraints,overall_mean_score,overall_with_D2_score,prediction_path,ground_truth_path,output_dir
ok,,pc2_q1,self,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.452250,0.600000,1.000000,0.750000,0.306116,0.200000,0.500000,0.285714,0.424962,0.450000,1.000000,0.620690,1.000000,0.166667,0.166667,6,1,0,5,0.394443,0.337499,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/deepseek-r1-7b/en/baseline/pc2_q1_self.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc2_q1.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/deepseek-r1-7b/en/baseline/pc2_q1_self
ok,,pc4_q4,acc,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.899351,1.000000,1.000000,1.000000,0.682150,1.000000,1.000000,1.000000,0.611167,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.730889,0.798167,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/deepseek-r1-7b/en/baseline/pc4_q4_acc.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc4_q4.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/deepseek-r1-7b/en/baseline/pc4_q4_acc
ok,,pc4_q4,gtf,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.737604,1.000000,1.000000,1.000000,0.739054,1.000000,1.000000,1.000000,0.611167,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.695942,0.771956,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/deepseek-r1-7b/en/baseline/pc4_q4_gtf.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc4_q4.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/deepseek-r1-7b/en/baseline/pc4_q4_gtf
ok,,pc4_q4,self,deepseek-r1-7b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.874480,1.000000,1.000000,1.000000,0.623194,1.000000,1.000000,1.000000,0.611167,0.555556,1.000000,0.714286,1.000000,1.000000,1.000000,0,0,0,0,0.702947,0.777210,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/deepseek-r1-7b/en/baseline/pc4_q4_self.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc4_q4.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/deepseek-r1-7b/en/baseline/pc4_q4_self
ok,,pc2_q1,acc,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.497147,0.700000,0.800000,0.746667,0.228763,0.200000,1.000000,0.333333,0.536420,0.850000,1.000000,0.918919,1.000000,0.166667,0.166667,6,1,0,5,0.420777,0.357249,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/llama3.1-8b/en/baseline/pc2_q1_acc.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc2_q1.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/llama3.1-8b/en/baseline/pc2_q1_acc
ok,,pc2_q1,gtf,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.523996,0.700000,1.000000,0.823529,0.392434,0.400000,1.000000,0.571429,0.520900,0.650000,1.000000,0.787879,1.000000,0.166667,0.166667,6,1,0,5,0.479110,0.400999,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/llama3.1-8b/en/baseline/pc2_q1_gtf.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc2_q1.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/llama3.1-8b/en/baseline/pc2_q1_gtf
ok,,pc2_q1,self,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.541201,0.800000,1.000000,0.888889,0.365620,0.300000,1.000000,0.461538,0.420368,0.550000,1.000000,0.709677,0.500000,0.333333,0.166667,6,1,1,4,0.442396,0.373464,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/llama3.1-8b/en/baseline/pc2_q1_self.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc2_q1.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/llama3.1-8b/en/baseline/pc2_q1_self
ok,,pc2_q1,seq,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.460256,0.600000,1.000000,0.750000,0.569964,0.600000,1.000000,0.750000,0.333530,0.300000,1.000000,0.461538,1.000000,0.500000,0.500000,6,3,0,3,0.454583,0.465938,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/llama3.1-8b/en/baseline/pc2_q1_seq.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc2_q1.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/llama3.1-8b/en/baseline/pc2_q1_seq
ok,,pc4_q4,acc,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.822526,1.000000,1.000000,1.000000,0.291895,0.500000,0.333333,0.400000,0.478081,0.444444,1.000000,0.615385,1.000000,1.000000,1.000000,0,0,0,0,0.530834,0.648125,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/llama3.1-8b/en/baseline/pc4_q4_acc.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc4_q4.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/llama3.1-8b/en/baseline/pc4_q4_acc
ok,,pc4_q4,gtf,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.895404,1.000000,1.000000,1.000000,0.787861,1.000000,1.000000,1.000000,0.702715,0.777778,1.000000,0.875000,1.000000,1.000000,1.000000,0,0,0,0,0.795327,0.846495,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/llama3.1-8b/en/baseline/pc4_q4_gtf.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc4_q4.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/llama3.1-8b/en/baseline/pc4_q4_gtf
ok,,pc4_q4,seq,llama3.1-8b,en,baseline,sentence-transformers/all-MiniLM-L6-v2,0.400000,,,,2,2,0.907387,1.000000,1.000000,1.000000,0.488293,1.000000,1.000000,1.000000,0.478081,0.444444,1.000000,0.615385,1.000000,1.000000,1.000000,0,0,0,0,0.624587,0.718440,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/call1/yaml/llama3.1-8b/en/baseline/pc4_q4_seq.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/data/ground_truth/en/pc4_q4.yaml,/Users/sitaraliang/Downloads/stage/cmap/llm-finmath-reasoning-eval/outputs/evaluation_direct_yaml_judge/matrices/llama3.1-8b/en/baseline/pc4_q4_seq
