subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.500000,False
1,D2,arguments,2,,1,0.200482,False
1,D2,arguments,3,,1,-0.063289,False
1,D2,arguments,4,,1,0.225419,False
1,D2,arguments,5,,1,0.189591,False
1,D2,arguments,6,,1,0.215755,False
1,D3,outcomes,1,,1,0.605694,True
1,D3,outcomes,2,,1,0.643756,True
1,D3,outcomes,3,,1,0.204089,False
1,D3,outcomes,4,,1,0.234316,False
1,D3,outcomes,5,,1,0.514654,True
1,D3,outcomes,6,,1,0.514654,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.603271,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.524831,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.917187,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.896349,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.744860,True
1,D1,required_precondition_coverage,6,gt_precondition,1,0.200690,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.148157,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.066607,False
2,D2,arguments,2,,1,0.117893,False
2,D2,arguments,3,,1,1.000000,True
2,D2,arguments,4,,1,-0.054745,False
2,D3,outcomes,1,,1,0.639955,True
2,D3,outcomes,2,,1,0.188026,False
2,D3,outcomes,3,,1,0.536148,True
2,D3,outcomes,4,,1,0.602031,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.117828,False
