subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.025708,0.025708,False,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),Calculation
1,D2,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.025708,0.025708,False,False,,,,,,,Independence of \(X_s\) and \(X_t - X_s\),Calculation
1,D2,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.078710,0.078710,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Calculation
1,D2,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.078710,0.078710,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Calculation
1,D2,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,1.000000,1.000000,True,False,,,,,,,Calculation,Calculation
1,D2,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,1.000000,1.000000,True,False,,,,,,,Calculation,Calculation
1,D2,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.157305,0.157305,False,False,,,,,,,thus the law depends only on \(t-s\),Calculation
1,D2,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.157305,0.157305,False,False,,,,,,,thus the law depends only on \(t-s\),Calculation
1,D2,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,-0.112936,-0.112936,False,False,,,,,,,plus the assumption of continuity of paths,Calculation
1,D2,arguments,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,-0.112936,-0.112936,False,False,,,,,,,plus the assumption of continuity of paths,Calculation
1,D2,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.009087,0.009087,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,Calculation
1,D2,arguments,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.009087,0.009087,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,Calculation
1,D3,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.335052,0.000000,False,True,unrelated,0.000000,"Model statement is an initial condition, unrelated to covariance.",e34385c1b0ffd94c2edc6fd948f062902fb2fb15d41701f2459dac9d593d2339,True,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",\( X_0 = 0 \)
1,D3,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.546728,0.546728,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",\( (X_t) \) is a Brownian motion.
1,D3,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.158942,0.158942,False,False,,,,,,,The process is therefore centered Gaussian,\( X_0 = 0 \)
1,D3,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.431100,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a stronger statement that implies the process is centered Gaussian, but does not explicitly state it.",89bb12cea59d74669f74a1b6576ea78ab2247c47a42b2a1587031833ee488ab7,False,,The process is therefore centered Gaussian,\( (X_t) \) is a Brownian motion.
1,D3,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.158530,0.158530,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent",\( X_0 = 0 \)
1,D3,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.170424,0.170424,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent",\( (X_t) \) is a Brownian motion.
1,D3,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.264363,0.264363,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",\( X_0 = 0 \)
1,D3,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.264967,0.264967,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",\( (X_t) \) is a Brownian motion.
1,D3,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.030260,0.030260,False,False,,,,,,,the classical definition of Brownian motion.,\( X_0 = 0 \)
1,D3,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.598573,0.598573,True,False,,,,,,,the classical definition of Brownian motion.,\( (X_t) \) is a Brownian motion.
1,D3,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.030260,0.030260,False,False,,,,,,,the classical definition of Brownian motion.,\( X_0 = 0 \)
1,D3,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.598573,0.598573,True,False,,,,,,,the classical definition of Brownian motion.,\( (X_t) \) is a Brownian motion.
1,D1,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.629820,0.629820,True,False,,,,,,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).",A process \( (X_t)_{t \geq 0} \) is a Brownian motion.
1,D1,required_precondition_coverage,1,2,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.581488,0.581488,True,False,,,,,,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).","\( X_0 = 0 \) | \( (X_t) \) is a centered Gaussian process | The covariance function is \( \text{Cov}(X_s, X_t) = \min(s, t) \)"
1,D1,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.468353,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement defines a process, but does not explicitly state that it has Gaussian increments.",4cbe6ce634fc66d9e13139634411768c4ff193445f798bb08636490362313b6f,True,,Standard Brownian motion has Gaussian increments,A process \( (X_t)_{t \geq 0} \) is a Brownian motion.
1,D1,required_precondition_coverage,2,2,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.533274,0.533274,True,False,,,,,,,Standard Brownian motion has Gaussian increments,"\( X_0 = 0 \) | \( (X_t) \) is a centered Gaussian process | The covariance function is \( \text{Cov}(X_s, X_t) = \min(s, t) \)"
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.432202,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is a definition, while the ground-truth statement is a specific instance.",e36f4763c3d502fe4468c26b4335394071d35d9fbf74d6e998cc78686212c0b6,True,,"\(X_0 = 0\),",A process \( (X_t)_{t \geq 0} \) is a Brownian motion.
1,D1,required_precondition_coverage,3,2,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.992619,0.992619,True,False,,,,,,,"\(X_0 = 0\),","\( X_0 = 0 \) | \( (X_t) \) is a centered Gaussian process | The covariance function is \( \text{Cov}(X_s, X_t) = \min(s, t) \)"
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.550941,0.550941,True,False,,,,,,,"Using property ${\rm Cov}(X_s,X_t)=\inf(s,t).$",A process \( (X_t)_{t \geq 0} \) is a Brownian motion.
1,D1,required_precondition_coverage,4,2,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.779307,0.779307,True,False,,,,,,,"Using property ${\rm Cov}(X_s,X_t)=\inf(s,t).$","\( X_0 = 0 \) | \( (X_t) \) is a centered Gaussian process | The covariance function is \( \text{Cov}(X_s, X_t) = \min(s, t) \)"
1,D1,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.461576,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement defines a Brownian motion, but does not explicitly state how to compute the covariance of differences.",2bbaa1b5876f886cecb08b9685d5d94d1e590e6a4ff6d4a109b5c32dafd6b298,True,,"Compute $\text{Cov}(X_t - X_s, X_v - X_u)$ for \(s < t \leq u < v\).",A process \( (X_t)_{t \geq 0} \) is a Brownian motion.
1,D1,required_precondition_coverage,5,2,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.696910,0.696910,True,False,,,,,,,"Compute $\text{Cov}(X_t - X_s, X_v - X_u)$ for \(s < t \leq u < v\).","\( X_0 = 0 \) | \( (X_t) \) is a centered Gaussian process | The covariance function is \( \text{Cov}(X_s, X_t) = \min(s, t) \)"
1,D1,required_precondition_coverage,6,1,subquestions[1].atoms/set[2]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.112600,0.112600,False,False,,,,,,,Compute the variance of an increment of $X$,A process \( (X_t)_{t \geq 0} \) is a Brownian motion.
