subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.838444,True
1,D3,arguments,1,,1,0.524037,True
1,D4,required_precondition_coverage,1,global_assumption,1,0.345944,False
1,D4,required_precondition_coverage,2,local_assumption,1,0.933150,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.363890,False
1,D4,required_precondition_coverage,4,gt_precondition,1,0.927608,True
2,D1,outcomes,1,,1,0.879316,True
2,D3,arguments,1,,1,0.433024,True
2,D4,required_precondition_coverage,1,global_assumption,1,0.833759,True
2,D4,required_precondition_coverage,2,local_assumption,1,0.933150,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.573805,True
2,D4,required_precondition_coverage,4,gt_precondition,1,0.554250,True
2,D4,required_precondition_coverage,5,gt_precondition,1,0.927608,True
