subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,2,0.677754,True
1,D2,arguments,2,,1,0.281574,False
1,D2,arguments,3,,1,0.069044,False
1,D2,arguments,4,,2,0.325011,False
1,D2,arguments,5,,2,0.500000,False
1,D2,arguments,6,,1,1.000000,True
1,D3,outcomes,1,,1,0.700311,True
1,D3,outcomes,2,,1,1.000000,True
1,D3,outcomes,3,,1,0.266035,False
1,D3,outcomes,4,,1,0.333489,False
1,D3,outcomes,5,,2,1.000000,True
1,D3,outcomes,6,,2,1.000000,True
1,D1,required_precondition_coverage,1,gt_precondition,3,0.575885,True
1,D1,required_precondition_coverage,2,gt_precondition,1,1.000000,True
1,D1,required_precondition_coverage,3,gt_precondition,3,1.000000,True
1,D1,required_precondition_coverage,4,gt_precondition,3,0.915292,True
1,D1,required_precondition_coverage,5,gt_precondition,3,0.768173,True
1,D1,required_precondition_coverage,6,gt_precondition,2,0.331355,False
1,D1,required_precondition_coverage,7,gt_precondition,2,0.198850,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.132851,False
2,D2,arguments,2,,2,0.178514,False
2,D2,arguments,3,,1,1.000000,True
2,D2,arguments,4,,2,0.235382,False
2,D3,outcomes,1,,1,0.000000,False
2,D3,outcomes,2,,1,0.000000,False
2,D3,outcomes,3,,1,0.000000,False
2,D3,outcomes,4,,1,0.000000,False
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,7,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.000000,False
