subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.809210,0.809210,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",E[W_τ] = E[W_T]
1,D1,outcomes,1,2,subquestions[1].atoms/list[1],subquestions[1].atoms/list[2],gt_atom,0.769754,0.769754,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",E[W_T] = 0
1,D1,outcomes,1,3,subquestions[1].atoms/list[1],subquestions[1].atoms/list[3],gt_atom,0.883019,0.883019,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",E[W_τ] = 0
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.441395,0.441395,False,False,,,,,,,Appliquez le théorème d'arrêt optionnel de Doob à $(W_t)_{t\geq 0}$ au temps d'arrêt $\tau$,Appliquer le théorème de stopping de Doob
1,D3,arguments,1,2,subquestions[1].atoms/list[1],subquestions[1].atoms/list[2],gt_atom,0.324908,0.324908,False,False,,,,,,,Appliquez le théorème d'arrêt optionnel de Doob à $(W_t)_{t\geq 0}$ au temps d'arrêt $\tau$,Utiliser la propriété de la martingale
1,D3,arguments,1,3,subquestions[1].atoms/list[1],subquestions[1].atoms/list[3],gt_atom,0.091235,0.091235,False,False,,,,,,,Appliquez le théorème d'arrêt optionnel de Doob à $(W_t)_{t\geq 0}$ au temps d'arrêt $\tau$,Combiner les résultats
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.729752,0.729752,True,False,,,,,,,$W_t$ est un mouvement brownien.,τ est un temps d'arrêt borné | W est un mouvement brownien standard
1,D4,required_precondition_coverage,1,2,assumption_global[1],subquestions[1].atoms/list[2],global_assumption,0.729752,0.729752,True,False,,,,,,,$W_t$ est un mouvement brownien.,τ ≤ T presque partout | W est un mouvement brownien standard
1,D4,required_precondition_coverage,1,3,assumption_global[1],subquestions[1].atoms/list[3],global_assumption,0.593154,0.593154,True,False,,,,,,,$W_t$ est un mouvement brownien.,E[W_τ] = E[W_T] | E[W_T] = 0
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.726859,0.726859,True,False,,,,,,,$\tau$ est un temps d'arr\^et born\'e,τ est un temps d'arrêt borné | W est un mouvement brownien standard
1,D4,required_precondition_coverage,2,2,subquestions[1].assumptions[1],subquestions[1].atoms/list[2],local_assumption,0.450545,0.450545,True,False,,,,,,,$\tau$ est un temps d'arr\^et born\'e,τ ≤ T presque partout | W est un mouvement brownien standard
1,D4,required_precondition_coverage,2,3,subquestions[1].assumptions[1],subquestions[1].atoms/list[3],local_assumption,0.289904,0.289904,False,False,,,,,,,$\tau$ est un temps d'arr\^et born\'e,E[W_τ] = E[W_T] | E[W_T] = 0
