subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.894272,1.000000,True,True,equivalent,1.000000,Same mathematical expression with identical notation.,5fd0a776d992d5515cbc25e732e49e80d00ef70a15a118d1e1d11f3930208cda,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",$\E(W_\tau)$
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,-0.062874,-0.062874,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Calculation
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.348656,0.000000,False,True,unrelated,0.000000,"The model statement mentions a stopping time, which is not relevant to the definition of Brownian Motion.",ea2eaed920938f4c36c0506f21624673a819194bf88ae1c23b93b57f3e909041,True,,$W_t$ is a Brownian Motion.,When $\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.975164,1.000000,True,True,equivalent,1.000000,Same mathematical content with different wording.,2340e7cdfce4de8011756517749bb516a846a625fcedba1c8158d5366c9b0ac9,True,,$\tau$ is a bounded stopping time,When $\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.381753,0.000000,False,True,unrelated,0.000000,"The model statement is about a stopping time, while the ground-truth statement is about a process being a martingale.",0bc1eede88967c0a94ce31a119a2940ca5120c6e276fafb52003c2cb06e8b85e,True,,$(W_t)_{t\geq 0}$ is a martingale.,When $\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.968297,1.000000,True,True,equivalent,1.000000,Same definition of bounded stopping time.,3d3143771700b071d61a01f225b2e03d0a17d3230b8530af4f2e41286325709f,True,,$\tau$ is a bounded stopping time.,When $\tau$ is a bounded stopping time
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.937357,1.000000,True,True,equivalent,1.000000,Same mathematical expression with identical notation.,0379da4bca3aa424f3b5f33aeeea88d186b7e4353a55a34981e2d70de1403a8e,False,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],$\\E(W_\\tau^2)$
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,-0.040596,-0.040596,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Calculation
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.794063,1.000000,True,True,equivalent,1.000000,Same definition of Brownian Motion.,c873e7b2e64566517053a07483f2bc5d4d233155ff671e37de853eed4263d275,False,,$W_t$ is a Brownian Motion.,Global Assumptions: - $W_t$ is a Brownian Motion | Local Assumptions: - $\\tau$ is a bounded stopping time.
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.832282,1.000000,True,True,equivalent,1.000000,Same mathematical content with identical wording.,264f8c6c099034d749bd6ebf91bab6884a2f379fd8155ee188d72c58d54b56a0,False,,$\tau$ is a bounded stopping time,Global Assumptions: - $W_t$ is a Brownian Motion | Local Assumptions: - $\\tau$ is a bounded stopping time.
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.554480,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement assumes bounded stopping time, which is not explicitly mentioned in the ground-truth statement.",2c8b903eb098b7f289f7dbb191cafae00ce3801c7d1bb5d85000e1c1d26d7913,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",Global Assumptions: - $W_t$ is a Brownian Motion | Local Assumptions: - $\\tau$ is a bounded stopping time.
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.551364,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement assumes a bounded stopping time, which is not present in the ground-truth statement.",95e2c8b07c70d8bcdbbf1e7d6b8d650e4dba98fdbbc100ea64b569cc42fa9b8f,False,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,Global Assumptions: - $W_t$ is a Brownian Motion | Local Assumptions: - $\\tau$ is a bounded stopping time.
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.845297,1.000000,True,True,equivalent,1.000000,Same mathematical content with identical wording.,5c47cb044b6d48eb9ce54714de234e0a8a5279a3f1859a721329879b8f4af1b2,False,,$\tau$ is a bounded stopping time.,Global Assumptions: - $W_t$ is a Brownian Motion | Local Assumptions: - $\\tau$ is a bounded stopping time.
