subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,2,0.806120,True
1,D1,outcomes,2,,2,0.736491,True
1,D1,outcomes,3,,2,0.538764,False
1,D1,outcomes,4,,2,0.540272,False
1,D1,outcomes,5,,2,0.514509,False
1,D1,outcomes,6,,2,0.514509,False
1,D3,arguments,1,,1,0.547148,False
1,D3,arguments,2,,1,0.833182,True
1,D3,arguments,3,,1,0.234205,False
1,D3,arguments,4,,1,0.586048,True
1,D3,arguments,5,,1,0.349730,False
1,D3,arguments,6,,2,0.361787,False
1,D4,required_precondition_coverage,1,gt_precondition,2,0.662193,True
1,D4,required_precondition_coverage,2,gt_precondition,1,0.637303,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.900591,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.854415,True
1,D4,required_precondition_coverage,5,gt_precondition,1,0.703802,True
1,D4,required_precondition_coverage,6,gt_precondition,2,0.716137,True
1,D4,required_precondition_coverage,7,gt_precondition,1,0.459921,False
1,D4,required_precondition_coverage,8,gt_precondition,1,0.594238,True
2,D1,outcomes,1,,3,0.546078,False
2,D1,outcomes,2,,1,0.371574,False
2,D1,outcomes,3,,2,0.586608,True
2,D1,outcomes,4,,1,0.608817,True
2,D3,arguments,1,,9,0.214863,False
2,D3,arguments,2,,1,0.446060,False
2,D3,arguments,3,,5,0.260083,False
2,D3,arguments,4,,3,0.222972,False
2,D4,required_precondition_coverage,1,previous_outcome,2,0.637992,True
2,D4,required_precondition_coverage,2,previous_outcome,1,0.367828,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.273185,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.421505,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.450034,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.356702,False
2,D4,required_precondition_coverage,7,gt_precondition,7,0.593226,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.465071,False
2,D4,required_precondition_coverage,9,gt_precondition,7,0.359777,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.360116,False
2,D4,required_precondition_coverage,11,gt_precondition,2,0.625873,True
2,D4,required_precondition_coverage,12,gt_precondition,1,0.323372,False
