subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,-0.062874,False
1,D3,outcomes,1,,1,0.825408,True
1,D1,required_precondition_coverage,1,global_assumption,1,0.379098,True
1,D1,required_precondition_coverage,2,local_assumption,1,1.000000,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.405443,True
1,D1,required_precondition_coverage,4,gt_precondition,1,0.989610,True
2,D2,arguments,1,,1,-0.040596,False
2,D3,outcomes,1,,1,0.810977,True
2,D1,required_precondition_coverage,1,global_assumption,2,0.588893,True
2,D1,required_precondition_coverage,2,local_assumption,1,0.975164,True
2,D1,required_precondition_coverage,3,previous_outcome,2,0.746488,True
2,D1,required_precondition_coverage,4,gt_precondition,2,0.650238,True
2,D1,required_precondition_coverage,5,gt_precondition,1,0.968297,True
