subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.523590,0.000000,False,True,unrelated,0.800000,"Model statement describes a process, while ground-truth statement gives a formula for covariance.",195833760e25bb613f7ba66ec09c1dc003e775d10a60dfa6cbd5606f06cebd0f,False,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",(X_t)_{t\in \R^+} 为布朗运动（Brownian motion）
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.086179,0.086179,False,False,,,,,,,因此该过程为零均值高斯过程。,(X_t)_{t\in \R^+} 为布朗运动（Brownian motion）
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.261209,0.261209,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,(X_t)_{t\in \R^+} 为布朗运动（Brownian motion）
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.305140,0.305140,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。",(X_t)_{t\in \R^+} 为布朗运动（Brownian motion）
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.195379,0.195379,False,False,,,,,,,布朗运动的经典定义。,(X_t)_{t\in \R^+} 为布朗运动（Brownian motion）
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.195379,0.195379,False,False,,,,,,,布朗运动的经典定义。,(X_t)_{t\in \R^+} 为布朗运动（Brownian motion）
1,D3,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.356757,0.356757,False,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"Cov(X_s,X_t)=min(s,t) | Var(X_t)=Cov(X_t,X_t)=t"
1,D3,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.070077,0.070077,False,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"Cov(X_s,X_t)=min(s,t) | Var(X_t)=Cov(X_t,X_t)=t"
1,D3,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.118136,0.118136,False,False,,,,,,,Calculation,"Cov(X_s,X_t)=min(s,t) | Var(X_t)=Cov(X_t,X_t)=t"
1,D3,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.244271,0.244271,False,False,,,,,,,因此增量的分布仅依赖于时间差 \(t-s\)。,"Cov(X_s,X_t)=min(s,t) | Var(X_t)=Cov(X_t,X_t)=t"
1,D3,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.137702,0.137702,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,"Cov(X_s,X_t)=min(s,t) | Var(X_t)=Cov(X_t,X_t)=t"
1,D3,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.180427,0.180427,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,"Cov(X_s,X_t)=min(s,t) | Var(X_t)=Cov(X_t,X_t)=t"
1,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.657587,1.000000,True,True,equivalent,1.000000,Same decomposition and covariance properties.,e976a6c8946a24fca3bc2e777f9a0cf4093b2b8df20417cf7bdfd62e3af2c528,False,,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,"X_0=0 | (X_t)_{t\in \R^+} 为零均值高斯过程 | Cov(X_s,X_t)=inf(s,t)"
1,D4,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.462826,1.000000,True,True,equivalent,1.000000,Same mathematical content with different wording.,204e12a4b195c305a09c8407418fd0d87c78fa0aa62a4953f2706b6bbd7f1a4d,False,,标准布朗运动具有高斯增量（Gaussian increments）且,"X_0=0 | (X_t)_{t\in \R^+} 为零均值高斯过程 | Cov(X_s,X_t)=inf(s,t)"
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.900591,1.000000,True,True,equivalent,1.000000,Same initial condition and stochastic process definition.,79262af441434d9643e7c15536a26651b259b91519ddbac4bffbaa905617781c,False,,\(X_0 = 0\)，,"X_0=0 | (X_t)_{t\in \R^+} 为零均值高斯过程 | Cov(X_s,X_t)=inf(s,t)"
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.854415,1.000000,True,True,equivalent,1.000000,Same mathematical content with identical notation.,86be79ff246cafb66f39e75c7517541471c651da3ff70c4a650bfc5053eb7990,False,,"利用性质 ${\rm Cov}(X_s,X_t)=\inf(s,t)$，","X_0=0 | (X_t)_{t\in \R^+} 为零均值高斯过程 | Cov(X_s,X_t)=inf(s,t)"
1,D4,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.703802,1.000000,True,True,equivalent,1.000000,Same mathematical expression for covariance of Gaussian process.,3dead4a50788e22788988bc1eb73768aeeb9115b3a9d8e4b6562073ce5d4134d,False,,"对于 \(s < t \leq u < v\)，计算协方差 $\text{Cov}(X_t - X_s, X_v - X_u)$：","X_0=0 | (X_t)_{t\in \R^+} 为零均值高斯过程 | Cov(X_s,X_t)=inf(s,t)"
1,D4,required_precondition_coverage,6,1,subquestions[1].atoms/set[2]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.704192,1.000000,True,True,equivalent,1.000000,Same mathematical content with identical notation.,cdd6096dde8c082384a97879af0bc2c8bb51595ba86a047bd9134bc9679bfaef,False,,计算增量 $X_t - X_s$ 的方差：,"X_0=0 | (X_t)_{t\in \R^+} 为零均值高斯过程 | Cov(X_s,X_t)=inf(s,t)"
1,D4,required_precondition_coverage,7,1,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.281743,0.281743,False,False,,,,,,,不相交增量相互独立，且,"X_0=0 | (X_t)_{t\in \R^+} 为零均值高斯过程 | Cov(X_s,X_t)=inf(s,t)"
1,D4,required_precondition_coverage,8,1,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.555221,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement lacks specification of distribution parameters, but correctly describes covariance structure.",e5c713d790c776636a64f47ab67981aff2bd0c40740200e703586b7df86d7f19,False,,"增量服从方差为 $t-s$ 的零均值高斯分布，即 \(\mathcal{N}(0, t-s)\)，","X_0=0 | (X_t)_{t\in \R^+} 为零均值高斯过程 | Cov(X_s,X_t)=inf(s,t)"
2,D1,outcomes,1,1,subquestions[2].atoms/set[1],subquestions[2].atoms/list[1],gt_atom,0.222673,0.222673,False,False,,,,,,,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.,"Cov(X_s, X_t) = min(s, t) | Var(X_t) = Cov(X_t, X_t) = t"
2,D1,outcomes,1,2,subquestions[2].atoms/set[1],subquestions[2].atoms/list[2],gt_atom,0.330253,0.330253,False,False,,,,,,,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.,"Cov(Y_s, Y_t) = min(1/s, 1/t) | Var(Y_t) = Cov(Y_t, Y_t) = 1/t"
2,D1,outcomes,1,3,subquestions[2].atoms/set[1],subquestions[2].atoms/list[3],gt_atom,0.251058,0.251058,False,False,,,,,,,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.,"Cov(Z_s, Z_t) = min(s, t) | Var(Z_t) = Cov(Z_t, Z_t) = t"
2,D1,outcomes,1,4,subquestions[2].atoms/set[1],subquestions[2].atoms/list[4],gt_atom,0.718732,0.000000,False,True,unrelated,0.000000,"Model statement describes a process, while ground-truth statement is a limit expression.",21de1a744a9d6182b283de36ce6339de15d11a29485cfc0a9a2cb8e9c936448e,False,,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.,"{X_t = t W_{1/t}, t > 0, X_0 = 0} 为布朗运动"
2,D1,outcomes,2,1,subquestions[2].atoms/set[2],subquestions[2].atoms/list[1],gt_atom,0.031932,0.031932,False,False,,,,,,,故服从零均值高斯分布。 \\,"Cov(X_s, X_t) = min(s, t) | Var(X_t) = Cov(X_t, X_t) = t"
2,D1,outcomes,2,2,subquestions[2].atoms/set[2],subquestions[2].atoms/list[2],gt_atom,-0.040833,-0.040833,False,False,,,,,,,故服从零均值高斯分布。 \\,"Cov(Y_s, Y_t) = min(1/s, 1/t) | Var(Y_t) = Cov(Y_t, Y_t) = 1/t"
2,D1,outcomes,2,3,subquestions[2].atoms/set[2],subquestions[2].atoms/list[3],gt_atom,0.046304,0.046304,False,False,,,,,,,故服从零均值高斯分布。 \\,"Cov(Z_s, Z_t) = min(s, t) | Var(Z_t) = Cov(Z_t, Z_t) = t"
2,D1,outcomes,2,4,subquestions[2].atoms/set[2],subquestions[2].atoms/list[4],gt_atom,0.076689,0.076689,False,False,,,,,,,故服从零均值高斯分布。 \\,"{X_t = t W_{1/t}, t > 0, X_0 = 0} 为布朗运动"
