subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.266399,False
1,D1,outcomes,2,,1,0.491800,True
1,D1,outcomes,3,,1,0.169372,False
1,D1,outcomes,4,,1,0.277448,False
1,D1,outcomes,5,,1,0.296554,False
1,D1,outcomes,6,,1,0.296554,False
1,D3,arguments,1,,1,0.025708,False
1,D3,arguments,2,,1,0.078710,False
1,D3,arguments,3,,1,1.000000,True
1,D3,arguments,4,,1,0.157305,False
1,D3,arguments,5,,1,-0.112936,False
1,D3,arguments,6,,1,0.009087,False
1,D4,required_precondition_coverage,1,gt_precondition,2,0.733877,True
1,D4,required_precondition_coverage,2,gt_precondition,1,0.565459,True
1,D4,required_precondition_coverage,3,gt_precondition,3,0.251831,False
1,D4,required_precondition_coverage,4,gt_precondition,2,0.605645,True
1,D4,required_precondition_coverage,5,gt_precondition,2,0.705389,True
1,D4,required_precondition_coverage,6,gt_precondition,3,0.212762,False
1,D4,required_precondition_coverage,7,gt_precondition,2,0.265866,False
1,D4,required_precondition_coverage,8,gt_precondition,3,0.504987,True
2,D1,outcomes,1,,1,0.635999,True
2,D1,outcomes,2,,1,0.202179,False
2,D1,outcomes,3,,1,0.508678,True
2,D1,outcomes,4,,1,0.613572,True
2,D3,arguments,1,,1,0.542523,True
2,D3,arguments,2,,1,0.257234,False
2,D3,arguments,3,,1,0.037047,False
2,D3,arguments,4,,1,0.688622,True
2,D4,required_precondition_coverage,1,previous_outcome,1,0.400795,True
2,D4,required_precondition_coverage,2,previous_outcome,1,0.393774,False
2,D4,required_precondition_coverage,3,previous_outcome,1,0.205889,False
2,D4,required_precondition_coverage,4,previous_outcome,1,0.184568,False
2,D4,required_precondition_coverage,5,previous_outcome,1,0.260001,False
2,D4,required_precondition_coverage,6,previous_outcome,1,0.661359,True
2,D4,required_precondition_coverage,7,gt_precondition,1,0.541197,True
2,D4,required_precondition_coverage,8,gt_precondition,1,0.293874,False
2,D4,required_precondition_coverage,9,gt_precondition,1,0.298405,False
2,D4,required_precondition_coverage,10,gt_precondition,1,0.371362,False
2,D4,required_precondition_coverage,11,gt_precondition,1,0.411884,True
2,D4,required_precondition_coverage,12,gt_precondition,1,0.117828,False
