status,call1_model,language,variation,exercise,strategy,prediction_path
found,tinyllama,fr,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/fr/baseline/pc2_q1_seq.yaml
found,tinyllama,fr,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/fr/baseline/pc2_q1_acc.yaml
missing,tinyllama,fr,baseline,pc2_q1,gtf,
found,tinyllama,fr,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/fr/baseline/pc2_q1_self.yaml
missing,tinyllama,fr,baseline,pc4_q4,seq,
found,tinyllama,fr,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/fr/baseline/pc4_q4_acc.yaml
missing,tinyllama,fr,baseline,pc4_q4,gtf,
found,tinyllama,fr,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/tinyllama/fr/baseline/pc4_q4_self.yaml
missing,llama3.2-1b,fr,baseline,pc2_q1,seq,
found,llama3.2-1b,fr,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/fr/baseline/pc2_q1_acc.yaml
found,llama3.2-1b,fr,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/fr/baseline/pc2_q1_gtf.yaml
missing,llama3.2-1b,fr,baseline,pc2_q1,self,
found,llama3.2-1b,fr,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/fr/baseline/pc4_q4_seq.yaml
found,llama3.2-1b,fr,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/fr/baseline/pc4_q4_acc.yaml
found,llama3.2-1b,fr,baseline,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/fr/baseline/pc4_q4_gtf.yaml
found,llama3.2-1b,fr,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.2-1b/fr/baseline/pc4_q4_self.yaml
found,deepseek-r1-1.5b,fr,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc2_q1_seq.yaml
found,deepseek-r1-1.5b,fr,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc2_q1_acc.yaml
found,deepseek-r1-1.5b,fr,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc2_q1_gtf.yaml
missing,deepseek-r1-1.5b,fr,baseline,pc2_q1,self,
found,deepseek-r1-1.5b,fr,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc4_q4_seq.yaml
found,deepseek-r1-1.5b,fr,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc4_q4_acc.yaml
found,deepseek-r1-1.5b,fr,baseline,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc4_q4_gtf.yaml
found,deepseek-r1-1.5b,fr,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-1.5b/fr/baseline/pc4_q4_self.yaml
found,qwen2.5-coder-0.5b,fr,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/fr/baseline/pc2_q1_seq.yaml
found,qwen2.5-coder-0.5b,fr,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/fr/baseline/pc2_q1_acc.yaml
found,qwen2.5-coder-0.5b,fr,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/fr/baseline/pc2_q1_gtf.yaml
found,qwen2.5-coder-0.5b,fr,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/fr/baseline/pc2_q1_self.yaml
found,qwen2.5-coder-0.5b,fr,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/fr/baseline/pc4_q4_seq.yaml
found,qwen2.5-coder-0.5b,fr,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/fr/baseline/pc4_q4_acc.yaml
found,qwen2.5-coder-0.5b,fr,baseline,pc4_q4,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/fr/baseline/pc4_q4_gtf.yaml
found,qwen2.5-coder-0.5b,fr,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen2.5-coder-0.5b/fr/baseline/pc4_q4_self.yaml
missing,qwen3-0.6b,fr,baseline,pc2_q1,seq,
missing,qwen3-0.6b,fr,baseline,pc2_q1,acc,
missing,qwen3-0.6b,fr,baseline,pc2_q1,gtf,
found,qwen3-0.6b,fr,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/fr/baseline/pc2_q1_self.yaml
missing,qwen3-0.6b,fr,baseline,pc4_q4,seq,
found,qwen3-0.6b,fr,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/fr/baseline/pc4_q4_acc.yaml
missing,qwen3-0.6b,fr,baseline,pc4_q4,gtf,
found,qwen3-0.6b,fr,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/qwen3-0.6b/fr/baseline/pc4_q4_self.yaml
found,llama3.1-8b,fr,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/fr/baseline/pc2_q1_seq.yaml
missing,llama3.1-8b,fr,baseline,pc2_q1,acc,
found,llama3.1-8b,fr,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/fr/baseline/pc2_q1_gtf.yaml
found,llama3.1-8b,fr,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/fr/baseline/pc2_q1_self.yaml
found,llama3.1-8b,fr,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/fr/baseline/pc4_q4_seq.yaml
found,llama3.1-8b,fr,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/fr/baseline/pc4_q4_acc.yaml
missing,llama3.1-8b,fr,baseline,pc4_q4,gtf,
found,llama3.1-8b,fr,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/llama3.1-8b/fr/baseline/pc4_q4_self.yaml
found,deepseek-r1-7b,fr,baseline,pc2_q1,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/fr/baseline/pc2_q1_seq.yaml
found,deepseek-r1-7b,fr,baseline,pc2_q1,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/fr/baseline/pc2_q1_acc.yaml
found,deepseek-r1-7b,fr,baseline,pc2_q1,gtf,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/fr/baseline/pc2_q1_gtf.yaml
found,deepseek-r1-7b,fr,baseline,pc2_q1,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/fr/baseline/pc2_q1_self.yaml
found,deepseek-r1-7b,fr,baseline,pc4_q4,seq,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/fr/baseline/pc4_q4_seq.yaml
found,deepseek-r1-7b,fr,baseline,pc4_q4,acc,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/fr/baseline/pc4_q4_acc.yaml
missing,deepseek-r1-7b,fr,baseline,pc4_q4,gtf,
found,deepseek-r1-7b,fr,baseline,pc4_q4,self,/home/xinyi.liang/dev_python/llmaths/project/outputs/selected_responses/deepseek-r1-7b/fr/baseline/pc4_q4_self.yaml
