subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.403551,False
1,D3,outcomes,1,,1,0.865240,True
1,D1,required_precondition_coverage,1,global_assumption,1,0.361925,False
1,D1,required_precondition_coverage,2,local_assumption,1,0.739769,True
1,D1,required_precondition_coverage,3,gt_precondition,1,0.269730,False
1,D1,required_precondition_coverage,4,gt_precondition,1,0.757355,True
2,D2,arguments,1,,2,0.500000,False
2,D3,outcomes,1,,1,0.844959,True
2,D1,required_precondition_coverage,1,global_assumption,2,0.500000,False
2,D1,required_precondition_coverage,2,local_assumption,1,0.771322,True
2,D1,required_precondition_coverage,3,previous_outcome,3,0.500000,False
2,D1,required_precondition_coverage,4,gt_precondition,2,0.450835,False
2,D1,required_precondition_coverage,5,gt_precondition,1,0.786738,True
