subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.514751,0.000000,False,True,unrelated,0.000000,"The model statement describes a property of X_t, but does not relate to the covariance between two random variables.",984f0e56eee0c291b0cb358ab8e64890434cde03fa1c23d99883a7655970ee93,True,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",X_t is a Brownian motion
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.426392,0.000000,False,True,unrelated,0.000000,"The model statement describes a stochastic process, while the ground-truth statement describes its distribution.",93c3c06de5f4e47215a92bed62a06aca6e7e7e55e934d2a4989b65da338302f9,True,,The process is therefore centered Gaussian,X_t is a Brownian motion
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.168197,0.168197,False,False,,,,,,,"disjoint increments are uncorrelated, hence independent",X_t is a Brownian motion
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.225493,0.225493,False,False,,,,,,,"This shows that the increments are stationary | and have law \(\mathcal{N}(0, t-s)\).",X_t is a Brownian motion
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.569309,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement lacks a definition of X_t, making it incomplete.",5dba23a1aa28215d1aa4da30cd5e5dbdb0d0ac0c00dd49c12b8af5a6588eb293,True,,the classical definition of Brownian motion.,X_t is a Brownian motion
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.569309,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement lacks a definition of X_t, making it incomplete.",5dba23a1aa28215d1aa4da30cd5e5dbdb0d0ac0c00dd49c12b8af5a6588eb293,True,,the classical definition of Brownian motion.,X_t is a Brownian motion
1,D3,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.414397,0.000000,False,True,unrelated,0.800000,"Model statement mentions Brownian motion, which is not present in the ground-truth statement.",5d9d821cb0f51922aa2d2b3e11230f1f4ab93f1b2f83c4b2991b07895027df1f,False,,Independence of \(X_s\) and \(X_t - X_s\),Equivalence of Brownian motion and covariance conditions
1,D3,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.243808,0.243808,False,False,,,,,,,a linear combination of independent Gaussian increments thus it is Gaussian,Equivalence of Brownian motion and covariance conditions
1,D3,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,-0.108736,-0.108736,False,False,,,,,,,Calculation,Equivalence of Brownian motion and covariance conditions
1,D3,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.244973,0.244973,False,False,,,,,,,thus the law depends only on \(t-s\),Equivalence of Brownian motion and covariance conditions
1,D3,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.231602,0.231602,False,False,,,,,,,plus the assumption of continuity of paths,Equivalence of Brownian motion and covariance conditions
1,D3,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.262978,0.262978,False,False,,,,,,,by taking the continuous version via Kolmogorov's theorem,Equivalence of Brownian motion and covariance conditions
1,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.558734,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement describes a centered Gaussian process, but does not explicitly decompose X_t as in the ground-truth statement.",9b46f422d93bc291bcef87ca7d93c119ea980e12942a35ad6c9a4e6c1adfcda7,True,,"For \(s \leq t\), we decompose \(X_t = X_s + (X_t - X_s)\).","X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
1,D4,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.553066,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement describes a centered Gaussian process, but does not explicitly mention increments.",09b34974bddc33fbccc3d7897c62254ce44d47d9ac29577a500c33943c0ef21b,True,,Standard Brownian motion has Gaussian increments,"X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.917187,1.000000,True,True,equivalent,1.000000,Same initial condition and stochastic process properties.,47630a4179f42eef707b1850a057588f2c1973103bc9f16da34498c93f089b30,True,,"\(X_0 = 0\),","X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.778871,1.000000,True,True,equivalent,1.000000,Same mathematical expression for covariance.,8de8026be1dec95810a42b1535afd33ab4fdd56e4781700cd4588fcf81adb8fd,True,,"Using property ${\rm Cov}(X_s,X_t)=\inf(s,t).$","X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
1,D4,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.722587,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement lacks the specific time ordering of s < t ≤ u < v.,a9b97fd1395bc479253d88a9236a39a4f27e4cafeb48198b4279a11c864356a8,True,,"Compute $\text{Cov}(X_t - X_s, X_v - X_u)$ for \(s < t \leq u < v\).","X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
1,D4,required_precondition_coverage,6,1,subquestions[1].atoms/set[2]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.205041,0.205041,False,False,,,,,,,Compute the variance of an increment of $X$,"X_0 = 0 | X_t is a centered Gaussian process | Cov(X_s, X_t) = min(s, t)"
