subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,score,matched,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.870729,True,"\[ \mathbb{E}[W_\tau] = 0, \]",Expected value of $W_\tau$
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.327560,False,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Properties of Brownian Motion and stochastic differential equations (SDEs)
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.386667,False,$W_t$ is a Brownian Motion.,The stopping time $\tau$ is bounded.
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.968547,True,$\tau$ is a bounded stopping time,The stopping time $\tau$ is bounded.
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.418280,True,$(W_t)_{t\geq 0}$ is a martingale.,The stopping time $\tau$ is bounded.
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.962530,True,$\tau$ is a bounded stopping time.,The stopping time $\tau$ is bounded.
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.882493,True,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],E(W_tau^2)
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.380586,False,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Properties of Brownian Motion and Conditional Expectation
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.668543,True,$W_t$ is a Brownian Motion.,Brownian Motion Definition | Conditional Expectation
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.240886,False,$\tau$ is a bounded stopping time,Brownian Motion Definition | Conditional Expectation
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.433524,True,"\[ \mathbb{E}[W_\tau] = 0, \]",Brownian Motion Definition | Conditional Expectation
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.391714,False,$(W_t^2-t)_{t\geq 0}$ is a martingale.,Brownian Motion Definition | Conditional Expectation
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.257874,False,$\tau$ is a bounded stopping time.,Brownian Motion Definition | Conditional Expectation
