subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,2,0.545092,True
1,D2,arguments,2,,1,0.405823,False
1,D2,arguments,3,,3,0.107170,False
1,D2,arguments,4,,4,0.247031,False
1,D2,arguments,5,,4,0.368775,False
1,D2,arguments,6,,4,0.601395,True
1,D3,outcomes,1,,2,0.788805,True
1,D3,outcomes,2,,1,0.482529,True
1,D3,outcomes,3,,1,0.246967,False
1,D3,outcomes,4,,1,0.320546,False
1,D3,outcomes,5,,1,0.375853,False
1,D3,outcomes,6,,1,0.375853,False
1,D1,required_precondition_coverage,1,gt_precondition,4,0.572047,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.429863,False
1,D1,required_precondition_coverage,3,gt_precondition,4,0.275337,False
1,D1,required_precondition_coverage,4,gt_precondition,1,0.542960,True
1,D1,required_precondition_coverage,5,gt_precondition,1,0.468062,True
1,D1,required_precondition_coverage,6,gt_precondition,2,0.296711,False
1,D1,required_precondition_coverage,7,gt_precondition,4,0.313527,False
1,D1,required_precondition_coverage,8,gt_precondition,2,0.470616,True
2,D2,arguments,1,,1,0.580811,True
2,D2,arguments,2,,1,0.612634,True
2,D2,arguments,3,,3,0.151186,False
2,D2,arguments,4,,1,0.783282,True
2,D3,outcomes,1,,1,0.183482,False
2,D3,outcomes,2,,2,0.640978,True
2,D3,outcomes,3,,3,0.555941,True
2,D3,outcomes,4,,4,0.741390,True
2,D1,required_precondition_coverage,1,previous_outcome,4,0.804829,True
2,D1,required_precondition_coverage,2,previous_outcome,2,0.448767,False
2,D1,required_precondition_coverage,3,previous_outcome,2,0.344880,False
2,D1,required_precondition_coverage,4,previous_outcome,2,0.357213,False
2,D1,required_precondition_coverage,5,previous_outcome,2,0.420632,False
2,D1,required_precondition_coverage,6,previous_outcome,2,0.672006,True
2,D1,required_precondition_coverage,7,gt_precondition,2,0.347357,False
2,D1,required_precondition_coverage,8,gt_precondition,2,0.407163,False
2,D1,required_precondition_coverage,9,gt_precondition,4,0.378197,False
2,D1,required_precondition_coverage,10,gt_precondition,2,0.354321,False
2,D1,required_precondition_coverage,11,gt_precondition,4,0.627030,True
2,D1,required_precondition_coverage,12,gt_precondition,4,0.359351,False
