subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,3,0.582327,True
1,D2,arguments,2,,2,0.500000,False
1,D2,arguments,3,,1,0.054914,False
1,D2,arguments,4,,3,0.290906,False
1,D2,arguments,5,,2,0.500000,False
1,D2,arguments,6,,2,0.500000,False
1,D3,outcomes,1,,3,0.713255,True
1,D3,outcomes,2,,2,0.559988,True
1,D3,outcomes,3,,3,0.264165,False
1,D3,outcomes,4,,2,0.316486,False
1,D3,outcomes,5,,2,0.500000,False
1,D3,outcomes,6,,2,0.500000,False
1,D1,required_precondition_coverage,1,gt_precondition,1,0.555187,True
1,D1,required_precondition_coverage,2,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.239291,False
1,D1,required_precondition_coverage,4,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,5,gt_precondition,1,0.500000,False
1,D1,required_precondition_coverage,6,gt_precondition,1,0.281124,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.205540,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D2,arguments,1,,1,0.014149,False
2,D2,arguments,2,,1,1.000000,True
2,D2,arguments,3,,1,0.127511,False
2,D2,arguments,4,,1,0.157930,False
2,D3,outcomes,1,,1,0.171883,False
2,D3,outcomes,2,,1,0.500000,False
2,D3,outcomes,3,,1,0.000000,False
2,D3,outcomes,4,,1,0.741390,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.300447,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.344880,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.500000,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.672006,True
2,D1,required_precondition_coverage,7,gt_precondition,1,0.347357,False
2,D1,required_precondition_coverage,8,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.500000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.181969,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.732822,True
3,D1,required_precondition_coverage,1,previous_outcome,1,0.300447,False
3,D1,required_precondition_coverage,2,previous_outcome,1,0.500000,False
3,D1,required_precondition_coverage,3,previous_outcome,1,0.344880,False
3,D1,required_precondition_coverage,4,previous_outcome,1,0.500000,False
3,D1,required_precondition_coverage,5,previous_outcome,1,0.500000,False
3,D1,required_precondition_coverage,6,previous_outcome,1,0.672006,True
3,D1,required_precondition_coverage,7,previous_outcome,1,0.304615,False
3,D1,required_precondition_coverage,8,previous_outcome,1,0.500000,False
3,D1,required_precondition_coverage,9,previous_outcome,1,0.227668,False
3,D1,required_precondition_coverage,10,previous_outcome,1,0.661306,True
