subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,0.865240,True
1,D3,arguments,1,,1,0.535188,False
1,D4,required_precondition_coverage,1,global_assumption,1,0.785361,True
1,D4,required_precondition_coverage,2,local_assumption,1,0.856788,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.627452,True
1,D4,required_precondition_coverage,4,gt_precondition,1,0.862828,True
2,D1,outcomes,1,,1,0.785113,True
2,D3,arguments,1,,2,0.555032,False
2,D4,required_precondition_coverage,1,global_assumption,1,0.785361,True
2,D4,required_precondition_coverage,2,local_assumption,1,0.856788,True
2,D4,required_precondition_coverage,3,previous_outcome,3,0.673290,True
2,D4,required_precondition_coverage,4,gt_precondition,2,0.533308,False
2,D4,required_precondition_coverage,5,gt_precondition,1,0.862828,True
