subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.609505,0.609505,True,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"协方差函数 min(s, t) 保证独立增量 | 高斯过程的不相关性即独立性 | 协方差函数连续性保证样本路径连续"
1,D2,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.703505,0.703505,True,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,"X_0 = 0 | X_t 是零均值高斯过程 | 协方差函数 Cov(X_s, X_t) = min(s, t)"
1,D2,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.930592,0.930592,True,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"协方差函数 min(s, t) 保证独立增量 | 高斯过程的不相关性即独立性 | 协方差函数连续性保证样本路径连续"
1,D2,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.637476,0.637476,True,False,,,,,,,独立高斯增量的线性组合，故其服从高斯分布。,"X_0 = 0 | X_t 是零均值高斯过程 | 协方差函数 Cov(X_s, X_t) = min(s, t)"
1,D2,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.171542,0.171542,False,False,,,,,,,Calculation,"协方差函数 min(s, t) 保证独立增量 | 高斯过程的不相关性即独立性 | 协方差函数连续性保证样本路径连续"
1,D2,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.250359,0.250359,False,False,,,,,,,Calculation,"X_0 = 0 | X_t 是零均值高斯过程 | 协方差函数 Cov(X_s, X_t) = min(s, t)"
1,D2,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.532520,0.532520,False,False,,,,,,,因此增量的分布仅依赖于时间差 \(t-s\)。,"协方差函数 min(s, t) 保证独立增量 | 高斯过程的不相关性即独立性 | 协方差函数连续性保证样本路径连续"
1,D2,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.612063,0.612063,True,False,,,,,,,因此增量的分布仅依赖于时间差 \(t-s\)。,"X_0 = 0 | X_t 是零均值高斯过程 | 协方差函数 Cov(X_s, X_t) = min(s, t)"
1,D2,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.392134,0.392134,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,"协方差函数 min(s, t) 保证独立增量 | 高斯过程的不相关性即独立性 | 协方差函数连续性保证样本路径连续"
1,D2,arguments,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.350693,0.350693,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,"X_0 = 0 | X_t 是零均值高斯过程 | 协方差函数 Cov(X_s, X_t) = min(s, t)"
1,D2,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.314479,0.314479,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,"协方差函数 min(s, t) 保证独立增量 | 高斯过程的不相关性即独立性 | 协方差函数连续性保证样本路径连续"
1,D2,arguments,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.291196,0.291196,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,"X_0 = 0 | X_t 是零均值高斯过程 | 协方差函数 Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.440847,0.440847,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。",X_t 是布朗运动
1,D3,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.943406,0.943406,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。","X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.351507,0.351507,False,False,,,,,,,因此该过程为零均值高斯过程。,X_t 是布朗运动
1,D3,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.736491,0.736491,True,False,,,,,,,因此该过程为零均值高斯过程。,"X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.365808,0.365808,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,X_t 是布朗运动
1,D3,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.538764,0.538764,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,"X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.491172,0.491172,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。",X_t 是布朗运动
1,D3,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.540272,0.540272,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。","X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.434002,0.434002,False,False,,,,,,,布朗运动的经典定义。,X_t 是布朗运动
1,D3,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.514509,0.514509,False,False,,,,,,,布朗运动的经典定义。,"X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.434002,0.434002,False,False,,,,,,,布朗运动的经典定义。,X_t 是布朗运动
1,D3,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.514509,0.514509,False,False,,,,,,,布朗运动的经典定义。,"X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = min(s, t)"
1,D1,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.563271,0.563271,False,False,,,,,,,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,"X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = min(s, t)"
1,D1,required_precondition_coverage,1,2,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.662193,0.662193,True,False,,,,,,,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,X_t 是布朗运动
1,D1,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.637303,0.637303,True,False,,,,,,,标准布朗运动具有高斯增量（Gaussian increments）且,"X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = min(s, t)"
1,D1,required_precondition_coverage,2,2,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.358834,0.358834,False,False,,,,,,,标准布朗运动具有高斯增量（Gaussian increments）且,X_t 是布朗运动
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.900591,0.900591,True,False,,,,,,,\(X_0 = 0\)，,"X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = min(s, t)"
1,D1,required_precondition_coverage,3,2,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.449710,0.449710,False,False,,,,,,,\(X_0 = 0\)，,X_t 是布朗运动
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.726554,0.726554,True,False,,,,,,,"利用性质 ${\rm Cov}(X_s,X_t)=\inf(s,t)$，","X_0 = 0 | X_t 是零均值高斯过程 | Cov(X_s, X_t) = min(s, t)"
