subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D2,arguments,1,,1,0.474658,True
1,D2,arguments,2,,1,0.582827,True
1,D2,arguments,3,,1,0.250359,False
1,D2,arguments,4,,1,0.346917,False
1,D2,arguments,5,,1,0.359620,False
1,D2,arguments,6,,1,0.347075,False
1,D3,outcomes,1,,3,0.410961,False
1,D3,outcomes,2,,1,0.597259,True
1,D3,outcomes,3,,3,0.336098,False
1,D3,outcomes,4,,3,0.367578,False
1,D3,outcomes,5,,1,0.518503,True
1,D3,outcomes,6,,1,0.518503,True
1,D1,required_precondition_coverage,1,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,2,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,3,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,4,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,5,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,6,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,7,gt_precondition,1,0.000000,False
1,D1,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D2,arguments,1,,1,0.580811,True
2,D2,arguments,2,,1,0.612634,True
2,D2,arguments,3,,3,0.229690,False
2,D2,arguments,4,,1,0.783282,True
2,D3,outcomes,1,,1,0.602152,True
2,D3,outcomes,2,,4,0.311398,False
2,D3,outcomes,3,,3,0.617260,True
2,D3,outcomes,4,,1,0.477780,True
2,D1,required_precondition_coverage,1,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,2,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,3,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,4,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,5,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,6,previous_outcome,1,0.000000,False
2,D1,required_precondition_coverage,7,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,8,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,9,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,10,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,11,gt_precondition,1,0.000000,False
2,D1,required_precondition_coverage,12,gt_precondition,1,0.000000,False
