subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.754499,0.754499,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]","\begin{align*} \E(W_\tau) &= \int_{0}^{\tau} \prob(W_t \geq W_s) dt \\ &= \exp\left(-\frac{1}{2}\tau t\right)\prob(W_0 = 0) \\ &= \exp\left(-\frac{1}{2}\tau \|W_0\|^2\right), \end{align*}"
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.539992,0.539992,True,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,compute $\E(W_\tau)$
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.348656,0.348656,False,False,,,,,,,$W_t$ is a Brownian Motion.,When $\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.975164,0.975164,True,False,,,,,,,$\tau$ is a bounded stopping time,When $\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.381753,0.500000,True,True,partially_correct,0.800000,"Model statement restricts to bounded stopping times, which is not present in the ground-truth statement.",6caf81fa982451140a41486ce33377d2d82adfd19d854c8588909e35bf70e516,False,,$(W_t)_{t\geq 0}$ is a martingale.,When $\tau$ is a bounded stopping time
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.968297,0.968297,True,False,,,,,,,$\tau$ is a bounded stopping time.,When $\tau$ is a bounded stopping time
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.840863,0.840863,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],E(W_τ^2) can be computed
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,-0.040596,-0.040596,False,False,,,,,,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Calculation
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.345944,0.345944,False,False,,,,,,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.933150,0.933150,True,False,,,,,,,$\tau$ is a bounded stopping time,τ is a bounded stopping time
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.401830,0.500000,True,True,partially_correct,0.800000,"The model statement is a necessary condition for the ground-truth statement, but it does not guarantee that the expectation of W_tau is zero.",80d0b245c025ae8a3ee96f224994b05f40f85e930d2419abf803233eb7fca51e,True,,"\[ \mathbb{E}[W_\tau] = 0, \]",τ is a bounded stopping time
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.321378,0.321378,False,False,,,,,,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.927608,0.927608,True,False,,,,,,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time
