subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.856242,0.000000,False,True,unrelated,0.000000,Model statement introduces an additional equation E[W_0] = 0 not present in the ground-truth statement.,dbbf0f6f5467fa1d58151c4c29eb2ced31be87b0f27ce55a21ae6a39469d9d7b,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",E[W_τ] = E[W_0] = 0
1,D3,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.624386,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement lacks specificity about the process and time.,5615139375b8fa5eba62dee1aacf8e9cc4a125c1093a1947bfd3d8dd73f2caf4,True,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Optional Stopping Theorem
1,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.918281,0.000000,False,True,unrelated,0.800000,"Model statement introduces a new variable τ, which is not present in the ground-truth statement.",f209d402cff1a58050b564a79a89ce61530b13528a7a8a197b938ddfef3d196b,False,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time | W_t is a standard Brownian motion
1,D4,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.933150,1.000000,True,True,equivalent,1.000000,Same mathematical content with identical wording.,366ace493efbee5763eb4ceaea49ce3b278fac7b2c6aa20168e152ebbf374d1c,False,,$\tau$ is a bounded stopping time,τ is a bounded stopping time | W_t is a standard Brownian motion
1,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.699614,0.000000,False,True,unrelated,0.800000,"The model statement mentions a stopping time τ, which is not present in the ground-truth statement.",760e2a4ec811f231bc2d7df040b77e4c85acd2c9dd3e52c33a7a61b4b2f709cd,False,,$(W_t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time | W_t is a standard Brownian motion
1,D4,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.927608,1.000000,True,True,equivalent,1.000000,Same mathematical content with identical wording.,eb9344808d83bdd59bb7b2803f651cc1b54750b2d7bf0ab5138dc1bcdcbf5b0b,False,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time | W_t is a standard Brownian motion
2,D1,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.932121,1.000000,True,True,equivalent,1.000000,Same mathematical expression.,d168c4a21495484bcf1442fe79b874fa3c8777cb1f8df87b44e530ed31f73b39,False,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],Compute $ \mathbb{E}[W_\tau^2] $
2,D3,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.656056,1.000000,True,True,equivalent,1.000000,"Same mathematical content, just different notation.",b09eebf4f0a37e5874b2eed8eafe3279f4437cc2d45d9e53c6af6eccc2e8fcb2,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Martingale Property of $ W_t^2 - t $
2,D4,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.869730,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is missing the definition of $W_t$ as a Brownian Motion, and only mentions it is standard.",931816422e9b7a5f05828a98910a648906e3f6d60c90b607ebbc9e35d8dc541c,False,,$W_t$ is a Brownian Motion.,Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion.
2,D4,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.974314,1.000000,True,True,equivalent,1.000000,Same definition of a bounded stopping time.,ecec704629b1c9d7981e312b5e9cccdf18865ec1587cffc6639c69b69355f75a,False,,$\tau$ is a bounded stopping time,Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion.
2,D4,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.547034,1.000000,True,True,equivalent,1.000000,Same mathematical expression for the expectation of a stopped Brownian motion.,f2a9b75e9ab81b9806361ea8dde04aa9c76676e1419fe118ad1be09b8427949c,False,,"\[ \mathbb{E}[W_\tau] = 0, \]",Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion.
2,D4,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.642140,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement assumes a bounded stopping time, which is not present in the ground-truth statement.",461a2d438a5cefc74cc364f0c11279622858103fbad7f1f03c1f721fdbe87ecc,False,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion.
2,D4,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.961507,1.000000,True,True,equivalent,1.000000,Same definition of a bounded stopping time.,90fb6876129dbeea5fdccf9236b7c01944b3b40f420b064220e495286438135e,False,,$\tau$ is a bounded stopping time.,Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion.
